fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
UDL0 11:20 309.5 37.46 1.000E+000 4.901E+000 4.355E-010 7.410E+002 2.593E+000 6.698E-006 1.746E-004 1.100E-001 1.734E-004 5.041E-006 2.643E-001 5.690E-002 8.844E-005 2.059E-002 
UDL1 11:22 309.9 37.41 1.000E+000 4.934E+000 4.814E-010 7.428E+002 2.589E+000 6.824E-006 1.745E-004 1.099E-001 1.733E-004 5.037E-006 2.645E-001 5.680E-002 8.853E-005 4.111E-002 
UDL2 11:25 309.9 37.41 1.000E+000 4.904E+000 4.540E-010 7.428E+002 2.535E+000 6.207E-006 1.738E-004 1.103E-001 1.726E-004 5.029E-006 2.643E-001 5.700E-002 8.808E-005 1.729E-002 
UDL3 11:27 309.9 37.41 1.000E+000 4.971E+000 4.884E-010 7.428E+002 2.623E+000 7.254E-006 1.759E-004 1.101E-001 1.747E-004 5.096E-006 2.649E-001 5.700E-002 8.924E-005 2.224E-003 
UDL4 11:29 309.9 37.41 1.000E+000 4.977E+000 4.815E-010 7.428E+002 2.606E+000 7.007E-006 1.743E-004 1.096E-001 1.730E-004 5.016E-006 2.645E-001 5.670E-002 8.830E-005 9.308E-003 
UDL5 11:31 309.8 37.42 1.000E+000 5.008E+000 4.819E-010 7.424E+002 2.629E+000 7.301E-006 1.766E-004 1.104E-001 1.754E-004 5.131E-006 2.649E-001 5.720E-002 8.954E-005 2.149E-002 
UDL6 11:34 309.7 37.44 1.000E+000 4.986E+000 4.622E-010 7.419E+002 2.611E+000 7.028E-006 1.753E-004 1.100E-001 1.740E-004 5.067E-006 2.646E-001 5.690E-002 8.889E-005 4.630E-002 
UDL7 11:36 309.7 37.44 1.000E+000 5.026E+000 4.699E-010 7.419E+002 2.619E+000 7.066E-006 1.748E-004 1.097E-001 1.735E-004 5.037E-006 2.645E-001 5.680E-002 8.853E-005 2.465E-002 
UDL8 11:38 309.6 37.45 1.000E+000 4.997E+000 4.564E-010 7.415E+002 2.610E+000 6.966E-006 1.745E-004 1.096E-001 1.733E-004 5.024E-006 2.644E-001 5.670E-002 8.845E-005 1.073E-002 
UDL9 11:40 309.5 37.46 1.000E+000 4.973E+000 4.363E-010 7.410E+002 2.593E+000 6.769E-006 1.760E-004 1.106E-001 1.748E-004 5.116E-006 2.646E-001 5.720E-002 8.928E-005 1.684E-002 
