N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 5.776700000E-05 4.974200000E-05 4.245100000E-05 3.782800000E-05
1.600000000E+01 2.195560000E-04 1.986890000E-04 1.853780000E-04 1.761280000E-04
1.700000000E+01 6.885300000E-04 6.747710000E-04 7.912340000E-04 8.155910000E-04
1.549996187E+01 1.220330000E-04 1.043770000E-04 9.297600000E-05 8.470400000E-05
1.649996187E+01 3.553840000E-04 3.410220000E-04 3.350950000E-04 3.273550000E-04
1.674996808E+01 4.817640000E-04 4.722140000E-04 4.729910000E-04 4.703960000E-04
1.624993176E+01 2.787750000E-04 2.572540000E-04 2.450230000E-04 2.399830000E-04
1.574996808E+01 1.689420000E-04 1.482950000E-04 1.340100000E-04 1.232740000E-04
1.524993176E+01 8.539500000E-05 7.183100000E-05 6.512300000E-05 5.883600000E-05
