N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.195088827E+00 1.182265219E+00 1.153986367E+00 1.097463564E+00 1.015960341E+00 1.016341640E+00 1.018745715E+00 1.023745321E+00 1.032090773E+00 1.044488635E+00 1.061303140E+00
1.600000000E+01 1.239796594E+00 1.241936697E+00 1.244274590E+00 1.246526161E+00 1.248378659E+00 1.248731853E+00 1.246786753E+00 1.241086522E+00 1.228921561E+00 1.206301892E+00 1.167463164E+00
1.700000000E+01 1.265774080E+00 1.269231249E+00 1.272378978E+00 1.274932830E+00 1.276605860E+00 1.277014759E+00 1.275897548E+00 1.272890087E+00 1.267890536E+00 1.261063089E+00 1.252201292E+00
1.549996187E+01 1.223508453E+00 1.224059727E+00 1.223526265E+00 1.220434233E+00 1.211784951E+00 1.192590319E+00 1.154844267E+00 1.088274702E+00 1.010098676E+00 1.010390933E+00 1.011693547E+00
1.649996187E+01 1.252746311E+00 1.255760150E+00 1.259031178E+00 1.262285351E+00 1.264109010E+00 1.266204544E+00 1.267323419E+00 1.267042183E+00 1.265100346E+00 1.260963584E+00 1.253965091E+00
1.674996808E+01 1.259119049E+00 1.262542852E+00 1.265985865E+00 1.269104115E+00 1.271557972E+00 1.273171615E+00 1.273648629E+00 1.272645036E+00 1.269844745E+00 1.265273500E+00 1.258611048E+00
1.624993176E+01 1.246351005E+00 1.248821731E+00 1.251662219E+00 1.254636830E+00 1.257226774E+00 1.259143205E+00 1.259827508E+00 1.258658938E+00 1.254863667E+00 1.247116934E+00 1.233221871E+00
1.574996808E+01 1.232219918E+00 1.233763345E+00 1.235325581E+00 1.236205499E+00 1.235409302E+00 1.231194478E+00 1.220785367E+00 1.199253881E+00 1.159824637E+00 1.093905154E+00 1.007746014E+00
1.524993176E+01 1.212913380E+00 1.209985634E+00 1.203099506E+00 1.186937706E+00 1.153060862E+00 1.088201079E+00 1.012763643E+00 1.013184004E+00 1.015059233E+00 1.018800427E+00 1.024925039E+00
