T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 1.220097714E+00 1.235245455E+00 1.248686889E+00 1.262976898E+00 1.278595619E+00 1.295919265E+00 1.315847113E+00 1.338180438E+00 1.362535807E+00
295 1.216685898E+00 1.233346453E+00 1.247579532E+00 1.261677768E+00 1.277054840E+00 1.293882378E+00 1.313603282E+00 1.335887152E+00 1.360184481E+00
300 1.210681718E+00 1.231710490E+00 1.246995486E+00 1.261291318E+00 1.276364719E+00 1.292843089E+00 1.312278867E+00 1.334297335E+00 1.358296028E+00
305 1.198822792E+00 1.228794020E+00 1.246661065E+00 1.261541629E+00 1.276573800E+00 1.292850707E+00 1.311921463E+00 1.333448266E+00 1.357107877E+00
310 1.175561013E+00 1.222596279E+00 1.245750215E+00 1.262167647E+00 1.277658590E+00 1.293655431E+00 1.311386041E+00 1.333382066E+00 1.356767480E+00
315 1.132362818E+00 1.209768284E+00 1.243105828E+00 1.262625831E+00 1.278946996E+00 1.295206193E+00 1.312607995E+00 1.334243837E+00 1.357271129E+00
320 1.060219505E+00 1.183330350E+00 1.236813140E+00 1.262309472E+00 1.280335535E+00 1.297207655E+00 1.314580187E+00 1.335983623E+00 1.358670190E+00
325 1.023685018E+00 1.138061250E+00 1.223488283E+00 1.259811577E+00 1.281476368E+00 1.299392455E+00 1.317026830E+00 1.338408209E+00 1.360751686E+00
330 1.024836030E+00 1.064413260E+00 1.197793875E+00 1.253579167E+00 1.281573806E+00 1.301574958E+00 1.319890994E+00 1.341314211E+00 1.363499252E+00
335 1.028235978E+00 1.019917676E+00 1.151903348E+00 1.240292464E+00 1.279572031E+00 1.303284022E+00 1.322874375E+00 1.344780678E+00 1.367066800E+00
340 1.034335247E+00 1.020753208E+00 1.079715614E+00 1.215173678E+00 1.273593417E+00 1.303744504E+00 1.325594472E+00 1.348406010E+00 1.371039706E+00
