x N
2.1346929E+0 1.3058697E+21
2.1277169E+0 1.3135902E+21
2.1208004E+0 1.3509626E+21
2.1141654E+0 1.3898098E+21
2.1075856E+0 1.3672217E+21
2.1006891E+0 1.2774771E+21
2.0931140E+0 1.2685974E+21
2.0860677E+0 1.3065218E+21
2.0788668E+0 1.2965639E+21
2.0716618E+0 1.2792803E+21
2.0642146E+0 1.2293967E+21
2.0563595E+0 1.2459076E+21
2.0490610E+0 1.2569442E+21
2.0412817E+0 1.2131672E+21
2.0333808E+0 1.1516939E+21
2.0246977E+0 1.1229333E+21
2.0163037E+0 1.0976749E+21
2.0071503E+0 1.0768841E+21
1.9983409E+0 1.0723972E+21
1.9890290E+0 1.0503251E+21
1.9797547E+0 1.0287665E+21
1.9699617E+0 1.0021406E+21
1.9600856E+0 9.7802241E+20
1.9497039E+0 9.6096243E+20
1.9393613E+0 8.4132944E+20
1.9258869E+0 8.2381396E+20
1.9149033E+0 8.8037952E+20
1.9028478E+0 8.4037211E+20
1.8906202E+0 8.2696909E+20
1.8780102E+0 8.1707249E+20
