N x
1.3580931E+0 1.3774586E+21
1.3476750E+0 1.4460261E+21
1.3381749E+0 1.4834474E+21
1.3281106E+0 1.4941655E+21
1.3186119E+0 1.5151008E+21
1.3086715E+0 1.4912620E+21
1.2987153E+0 1.5091436E+21
1.2888609E+0 1.5413497E+21
1.2791708E+0 1.5147531E+21
1.2688160E+0 1.5098664E+21
1.2589058E+0 1.5568568E+21
1.2490045E+0 1.5436545E+21
1.2387636E+0 1.5134744E+21
1.2282918E+0 1.5268048E+21
1.2180607E+0 1.5604488E+21
1.2078633E+0 1.5448448E+21
1.1972478E+0 1.5285190E+21
1.1866454E+0 1.5261121E+21
1.1758042E+0 1.5279857E+21
1.1650335E+0 1.5330427E+21
1.1540619E+0 1.5431375E+21
1.1432313E+0 1.5257779E+21
1.1317955E+0 1.5004121E+21
1.1203658E+0 1.5177393E+21
1.1089606E+0 1.5449094E+21
1.0977031E+0 1.5457861E+21
1.0860731E+0 1.5283888E+21
1.0743096E+0 1.5103255E+21
1.0621375E+0 1.5195330E+21
1.0502543E+0 1.5223317E+21
1.0378454E+0 1.5169691E+21
1.0255929E+0 1.5189694E+21
1.0129152E+0 1.5238769E+21
1.0004397E+0 1.5036826E+21
9.8709244E-1 1.4781459E+21
9.7382831E-1 1.4764052E+21
9.6007895E-1 1.4787731E+21
9.4648080E-1 1.4779122E+21
9.3231183E-1 1.4660633E+21
9.1807133E-1 1.4818424E+21
9.0376903E-1 1.4799299E+21
8.8903339E-1 1.4861892E+21
8.7438255E-1 1.4911495E+21
8.5924419E-1 1.4744879E+21
8.4372778E-1 1.4774228E+21
8.2809233E-1 1.4625421E+21
8.1165146E-1 1.4405367E+21
7.9487566E-1 1.4331207E+21
7.7755355E-1 1.4142404E+21
7.5954943E-1 1.4110509E+21
7.4131870E-1 1.4191031E+21
