N x
2.1706440E+0 5.5055204E+20
2.1543369E+0 5.8347050E+20
2.1397658E+0 6.4354393E+20
2.1261453E+0 6.8165613E+20
2.1129768E+0 7.0792269E+20
2.1001891E+0 7.4379908E+20
2.0881242E+0 7.7721246E+20
2.0762646E+0 7.9589651E+20
2.0646280E+0 8.0049038E+20
2.0527691E+0 8.1478323E+20
2.0414153E+0 8.4345307E+20
2.0302188E+0 8.5267186E+20
2.0189848E+0 8.4642197E+20
2.0074957E+0 8.5037346E+20
1.9962406E+0 8.7091628E+20
1.9851624E+0 8.7760928E+20
1.9739523E+0 8.7874639E+20
1.9627775E+0 8.6550924E+20
1.9510924E+0 8.7312170E+20
1.9399875E+0 8.7531006E+20
1.9282220E+0 8.6944019E+20
1.9168284E+0 8.7420317E+20
1.9050476E+0 8.7103896E+20
1.8934294E+0 8.6890037E+20
1.8814437E+0 8.6570396E+20
1.8695906E+0 8.6033618E+20
1.8573004E+0 8.6389571E+20
1.8453930E+0 8.6063791E+20
1.8328478E+0 8.4888605E+20
1.8204373E+0 8.4593917E+20
1.8076308E+0 8.4286255E+20
1.7949527E+0 8.4121408E+20
1.7819123E+0 8.3061833E+20
1.7687171E+0 8.2639550E+20
1.7553458E+0 8.2073549E+20
1.7417632E+0 8.1341995E+20
1.7279372E+0 8.1296152E+20
1.7141218E+0 8.0716408E+20
1.6998691E+0 7.9533141E+20
1.6853991E+0 7.9124845E+20
1.6707507E+0 7.8178479E+20
1.6556675E+0 7.7643520E+20
1.6405451E+0 7.7360172E+20
1.6250689E+0 7.6219390E+20
1.6091923E+0 7.5312315E+20
1.5930265E+0 7.4611885E+20
1.5765203E+0 7.3672192E+20
1.5595904E+0 7.2894168E+20
1.5423618E+0 7.0735684E+20
1.5239865E+0 7.0349151E+20
1.5061505E+0 7.1845676E+20
