N x
1.4107932E+0 2.1199536E+21
1.4026554E+0 1.4474121E+21
1.3868203E+0 1.5833481E+21
1.3806278E+0 1.9117330E+21
1.3683906E+0 1.2274114E+21
1.3516824E+0 1.0361019E+21
1.3337173E+0 1.1261786E+21
1.3194120E+0 1.5568386E+21
1.3101331E+0 1.6702952E+21
1.2972010E+0 1.5674529E+21
1.2862807E+0 1.3934218E+21
1.2700650E+0 1.3272008E+21
1.2575280E+0 1.4852584E+21
1.2440688E+0 1.4341798E+21
1.2303215E+0 1.4399891E+21
1.2166735E+0 1.3689660E+21
1.2011581E+0 1.4276229E+21
1.1884014E+0 1.2799895E+21
1.1691628E+0 1.1876008E+21
1.1534985E+0 1.5144507E+21
1.1414217E+0 1.6497208E+21
1.1277041E+0 1.4134533E+21
1.1109299E+0 1.3062573E+21
1.0942588E+0 1.1745856E+21
1.0730892E+0 1.2938144E+21
1.0594213E+0 1.5122967E+21
1.0427517E+0 1.4153159E+21
1.0265406E+0 1.5057971E+21
1.0113677E+0 1.2785144E+21
9.8886744E-1 1.4487830E+21
9.7768153E-1 1.5597808E+21
9.5688218E-1 1.3103572E+21
9.3903115E-1 1.4958587E+21
9.2234957E-1 1.4286132E+21
9.0212532E-1 1.2864208E+21
8.8049340E-1 1.3848125E+21
8.6239868E-1 1.4162139E+21
8.4066896E-1 1.3151093E+21
8.1848488E-1 1.3664802E+21
7.9729873E-1 1.3810582E+21
7.7435672E-1 1.3461137E+21
