N x
1.7509705E+0 1.0306298E+21
1.7374704E+0 1.0377931E+21
1.7240532E+0 1.0341664E+21
1.7102448E+0 1.0246848E+21
1.6963562E+0 1.0388086E+21
1.6827033E+0 1.0302343E+21
1.6683524E+0 1.0153432E+21
1.6540507E+0 1.0202428E+21
1.6395891E+0 1.0203514E+21
1.6250374E+0 1.0227776E+21
1.6103853E+0 1.0273037E+21
1.5956983E+0 1.0277628E+21
1.5807877E+0 1.0144938E+21
1.5654285E+0 1.0127900E+21
1.5501749E+0 1.0195177E+21
1.5347154E+0 1.0073067E+21
1.5187735E+0 1.0043290E+21
1.5028960E+0 1.0172212E+21
1.4870248E+0 1.0095320E+21
1.4705576E+0 1.0042752E+21
1.4541605E+0 9.5640163E+20
1.4356326E+0 9.4127948E+20
1.4182572E+0 9.9963506E+20
1.4014036E+0 1.0048671E+21
1.3837811E+0 9.9180508E+20
1.3660368E+0 1.0029589E+21
1.3483557E+0 9.9390618E+20
1.3298075E+0 9.8339117E+20
1.3112399E+0 9.9577637E+20
1.2926340E+0 9.9011341E+20
1.2733057E+0 9.7550852E+20
1.2535518E+0 9.7270607E+20
1.2334951E+0 9.7844231E+20
1.2133342E+0 9.7110869E+20
1.1922872E+0 9.7131496E+20
1.1714263E+0 9.6342075E+20
1.1492561E+0 9.5054235E+20
1.1269940E+0 9.5694959E+20
1.1042414E+0 9.5107487E+20
1.0807628E+0 9.4994558E+20
1.0569582E+0 9.5380027E+20
