N x
1.3332166E+0 1.1203831E+21
1.3201550E+0 1.2089743E+21
1.3089046E+0 1.4914900E+21
1.3002851E+0 1.4454778E+21
1.2882181E+0 1.3489426E+21
1.2779559E+0 1.6201343E+21
1.2694772E+0 1.4850522E+21
1.2573296E+0 1.5244060E+21
1.2492513E+0 1.6091013E+21
1.2379885E+0 1.5211044E+21
1.2286475E+0 1.5343255E+21
1.2173747E+0 1.5324553E+21
1.2078487E+0 1.6939718E+21
1.1983977E+0 1.6014896E+21
1.1876056E+0 1.6934733E+21
1.1791095E+0 1.6155325E+21
1.1671919E+0 1.6071886E+21
1.1584385E+0 1.7057320E+21
1.1475229E+0 1.4633699E+21
1.1353023E+0 1.5604542E+21
1.1256296E+0 1.7303290E+21
1.1153611E+0 1.7514067E+21
1.1057582E+0 1.6415063E+21
1.0939474E+0 1.4891820E+21
1.0819208E+0 1.7125619E+21
1.0730211E+0 1.8112953E+21
1.0619218E+0 1.7334848E+21
1.0519388E+0 1.5680719E+21
1.0383415E+0 1.4488667E+21
1.0261459E+0 1.6193052E+21
1.0149852E+0 1.6787590E+21
1.0033523E+0 1.5089487E+21
9.8930756E-1 1.5915665E+21
9.7873489E-1 1.8140158E+21
9.6742909E-1 1.5531228E+21
9.5284852E-1 1.4881285E+21
9.4007102E-1 1.6494949E+21
9.2781462E-1 1.6952407E+21
9.1538170E-1 1.5464811E+21
9.0034635E-1 1.5413833E+21
8.8743516E-1 1.6222275E+21
8.7335667E-1 1.5397349E+21
8.5854803E-1 1.5099146E+21
8.4339749E-1 1.5426552E+21
8.2871210E-1 1.5217894E+21
8.1258115E-1 1.5511147E+21
7.9793317E-1 1.5505763E+21
7.8115577E-1 1.4351262E+21
7.6327223E-1 1.4283774E+21
7.4554398E-1 1.4777082E+21
7.2803228E-1 1.5047331E+21
