N x
1.3243840E+0 2.3047528E+21
1.3164094E+0 1.7736901E+21
1.3035580E+0 1.5126480E+21
1.2918046E+0 1.7525961E+21
1.2821369E+0 1.8376034E+21
1.2711935E+0 1.5995327E+21
1.2582474E+0 1.5838409E+21
1.2468533E+0 1.6426875E+21
1.2345413E+0 1.5488141E+21
1.2214611E+0 1.4833730E+21
1.2077463E+0 1.6339648E+21
1.1968949E+0 1.7096054E+21
1.1840059E+0 1.5848230E+21
1.1710275E+0 1.5477175E+21
1.1572163E+0 1.5366325E+21
1.1437363E+0 1.6127540E+21
1.1309104E+0 1.6835397E+21
1.1182452E+0 1.5829551E+21
1.1034647E+0 1.5496346E+21
1.0898759E+0 1.6417376E+21
1.0763391E+0 1.5697730E+21
1.0611269E+0 1.5345335E+21
1.0465403E+0 1.5717370E+21
1.0316145E+0 1.5513594E+21
1.0162054E+0 1.5136860E+21
1.0000490E+0 1.5471885E+21
9.8485102E-1 1.6173245E+21
9.6957568E-1 1.5772683E+21
9.5309299E-1 1.6170120E+21
9.3810681E-1 1.6179866E+21
9.2108078E-1 1.5668079E+21
9.0448229E-1 1.5370633E+21
8.8613468E-1 1.5354913E+21
8.6883164E-1 1.5516835E+21
8.5010270E-1 1.5608728E+21
8.3227198E-1 1.4766475E+21
8.1051559E-1 1.3884040E+21
7.8915104E-1 1.4419141E+21
7.6786256E-1 1.5237611E+21
7.4769841E-1 1.7678245E+21
7.3123298E-1 1.9931928E+21
