N x
1.5298359E+0 1.5130533E+21
1.5214253E+0 1.5508977E+21
1.5133817E+0 1.6363295E+21
1.5057476E+0 1.6657462E+21
1.4978996E+0 1.6418758E+21
1.4899587E+0 1.6338987E+21
1.4819493E+0 1.6516603E+21
1.4740958E+0 1.6763305E+21
1.4662356E+0 1.6788452E+21
1.4583213E+0 1.6767584E+21
1.4503559E+0 1.7050952E+21
1.4426212E+0 1.7237395E+21
1.4347403E+0 1.6871051E+21
1.4265781E+0 1.6970988E+21
1.4187036E+0 1.7545736E+21
1.4109800E+0 1.8017614E+21
1.4034309E+0 1.7848211E+21
1.3954762E+0 1.7110024E+21
1.3871664E+0 1.7196983E+21
1.3792010E+0 1.7581605E+21
1.3711528E+0 1.7536337E+21
1.3630521E+0 1.7439711E+21
1.3548174E+0 1.7623294E+21
1.3467906E+0 1.7522856E+21
1.3383616E+0 1.7200187E+21
1.3299229E+0 1.7129414E+21
1.3213157E+0 1.7308954E+21
1.3129466E+0 1.6069328E+21
1.3028998E+0 1.6151027E+21
1.2945061E+0 1.7535233E+21
1.2857918E+0 1.7633833E+21
1.2773826E+0 1.7517547E+21
1.2684355E+0 1.7447886E+21
1.2598402E+0 1.7648618E+21
1.2509700E+0 1.7711289E+21
1.2423165E+0 1.7666985E+21
1.2332757E+0 1.7398399E+21
1.2242200E+0 1.7391355E+21
1.2150371E+0 1.7252333E+21
1.2056953E+0 1.6855658E+21
1.1959274E+0 1.6361411E+21
1.1858485E+0 1.6353565E+21
1.1759061E+0 1.6059740E+21
1.1652813E+0 1.5689692E+21
1.1546681E+0 1.5487264E+21
1.1435632E+0 1.5021215E+21
1.1320596E+0 1.4646945E+21
1.1201413E+0 1.4319187E+21
1.1078470E+0 1.3956134E+21
1.0950213E+0 1.3569910E+21
1.0817099E+0 1.3400904E+21
