N x
1.4521515E+0 1.2869288E+21
1.4417253E+0 1.3281725E+21
1.4318776E+0 1.3813628E+21
1.4220945E+0 1.3849874E+21
1.4121621E+0 1.3745272E+21
1.4020893E+0 1.3988681E+21
1.3923671E+0 1.4344649E+21
1.3826484E+0 1.4264812E+21
1.3726782E+0 1.4133481E+21
1.3626334E+0 1.4130517E+21
1.3525115E+0 1.4242869E+21
1.3424773E+0 1.4320930E+21
1.3323137E+0 1.4177850E+21
1.3219192E+0 1.4164427E+21
1.3115766E+0 1.4417525E+21
1.3013863E+0 1.4352061E+21
1.2907840E+0 1.4183554E+21
1.2801772E+0 1.4142053E+21
1.2693345E+0 1.4224862E+21
1.2586739E+0 1.4190174E+21
1.2475909E+0 1.4197001E+21
1.2367535E+0 1.3063652E+21
1.2235344E+0 1.3076726E+21
1.2125066E+0 1.4187617E+21
1.2009577E+0 1.4189371E+21
1.1897235E+0 1.4194239E+21
1.1779593E+0 1.4123225E+21
1.1663856E+0 1.4059905E+21
1.1542763E+0 1.4103122E+21
1.1425369E+0 1.4000059E+21
1.1299927E+0 1.3960650E+21
1.1179283E+0 1.4037238E+21
1.1052421E+0 1.3989103E+21
1.0928174E+0 1.3922202E+21
1.0797128E+0 1.3726978E+21
1.0666190E+0 1.3822133E+21
1.0533733E+0 1.3759326E+21
1.0398246E+0 1.3640331E+21
1.0259932E+0 1.3521280E+21
1.0118304E+0 1.3460159E+21
9.9748026E-1 1.3403156E+21
9.8278183E-1 1.3348818E+21
9.6787931E-1 1.3311128E+21
9.5263786E-1 1.3283572E+21
9.3719161E-1 1.3259232E+21
9.2138446E-1 1.3145628E+21
9.0512562E-1 1.3068338E+21
8.8855175E-1 1.2951192E+21
8.7137235E-1 1.2785151E+21
8.5368780E-1 1.2768588E+21
8.3574495E-1 1.2809379E+21
