x N
1.3832974E+0 5.0883355E+21
1.3798453E+0 2.2944894E+21
1.3679198E+0 1.4683668E+21
1.3556781E+0 1.1502721E+21
1.3367172E+0 1.3291047E+21
1.3284677E+0 1.4482406E+21
1.3114055E+0 1.3386813E+21
1.3008890E+0 1.6785060E+21
1.2891668E+0 1.5767936E+21
1.2770076E+0 1.2396590E+21
1.2584294E+0 1.2142293E+21
1.2453120E+0 1.5876605E+21
1.2338971E+0 1.8900406E+21
1.2245168E+0 1.5130547E+21
1.2076195E+0 1.1417800E+21
1.1892947E+0 1.1929429E+21
1.1734444E+0 1.4003117E+21
1.1597841E+0 1.7667550E+21
1.1497944E+0 1.7004632E+21
1.1349065E+0 1.2350154E+21
1.1150903E+0 1.2066535E+21
1.0988923E+0 1.6319402E+21
1.0880914E+0 1.6395732E+21
1.0716146E+0 1.5140199E+21
1.0582185E+0 1.4861917E+21
1.0406925E+0 1.4624648E+21
1.0263771E+0 1.4043345E+21
1.0069343E+0 1.3317856E+21
9.9023239E-1 1.4260685E+21
9.7254616E-1 1.5318765E+21
9.5770100E-1 1.4777955E+21
9.3816737E-1 1.4345595E+21
9.2169596E-1 1.3751751E+21
8.9976005E-1 1.3949436E+21
8.8313868E-1 1.6378610E+21
