N x
1.5876025E+0 1.1423168E+21
1.5741639E+0 1.1341548E+21
1.5604136E+0 1.1159873E+21
1.5462883E+0 1.1100664E+21
1.5321365E+0 1.1299588E+21
1.5182551E+0 1.1386040E+21
1.5040564E+0 1.1259359E+21
1.4895915E+0 1.1155331E+21
1.4748444E+0 1.1128316E+21
1.4600178E+0 1.1228153E+21
1.4452372E+0 1.1265534E+21
1.4302039E+0 1.1273646E+21
1.4151339E+0 1.1211534E+21
1.3996070E+0 1.1145047E+21
1.3840173E+0 1.1199125E+21
1.3682910E+0 1.1142146E+21
1.3521765E+0 1.1127527E+21
1.3360326E+0 1.1271938E+21
1.3199476E+0 1.1216779E+21
1.3032421E+0 1.1144704E+21
1.2865298E+0 1.1166767E+21
1.2694524E+0 1.1080276E+21
1.2520182E+0 1.1155236E+21
1.2347019E+0 1.1130982E+21
1.2166921E+0 1.1050360E+21
1.1986002E+0 1.1158025E+21
1.1803986E+0 1.1120176E+21
1.1616142E+0 1.1082538E+21
1.1426939E+0 1.1177932E+21
1.1236119E+0 1.1150015E+21
1.1039421E+0 1.1042021E+21
1.0837855E+0 1.1029666E+21
1.0633330E+0 1.1065717E+21
1.0425289E+0 1.1023377E+21
1.0210855E+0 1.0625446E+21
9.9775102E-1 1.0635642E+21
9.7536850E-1 1.1007468E+21
9.5253262E-1 1.1034916E+21
9.2917941E-1 1.1025623E+21
9.0513806E-1 1.1077330E+21
8.8076208E-1 1.1149394E+21
