x N
1.5009791E+0 1.3092598E+21
1.4910670E+0 1.2950640E+21
1.4808691E+0 1.2914759E+21
1.4707648E+0 1.3165065E+21
1.4608164E+0 1.3128219E+21
1.4505154E+0 1.2930287E+21
1.4401129E+0 1.3063351E+21
1.4298766E+0 1.3177531E+21
1.4195043E+0 1.3055273E+21
1.4089225E+0 1.3086317E+21
1.3984452E+0 1.2956873E+21
1.3874892E+0 1.2970716E+21
1.3768720E+0 1.2986271E+21
1.3657693E+0 1.2921515E+21
1.3548713E+0 1.2929279E+21
1.3436002E+0 1.2886808E+21
1.3324466E+0 1.2852583E+21
1.3209234E+0 1.2796631E+21
1.3094759E+0 1.2756992E+21
1.2976761E+0 1.2721045E+21
1.2859548E+0 1.2331038E+21
1.2731791E+0 1.2309776E+21
1.2611870E+0 1.2531712E+21
1.2486053E+0 1.2552847E+21
1.2364171E+0 1.2557516E+21
1.2235901E+0 1.2507601E+21
1.2110483E+0 1.2421398E+21
1.1977699E+0 1.2312415E+21
1.1847212E+0 1.2318156E+21
1.1711569E+0 1.2195422E+21
1.1575344E+0 1.2256775E+21
1.1437870E+0 1.2200027E+21
1.1297041E+0 1.2082764E+21
1.1153369E+0 1.2018664E+21
1.1007344E+0 1.1990895E+21
1.0859151E+0 1.1969447E+21
1.0708573E+0 1.1956238E+21
