x N
1.4155730E+0 1.6472629E+21
1.4051270E+0 1.6451943E+21
1.3945761E+0 1.5923515E+21
1.3832641E+0 1.5716662E+21
1.3722529E+0 1.6000861E+21
1.3611583E+0 1.5975405E+21
1.3499310E+0 1.5708250E+21
1.3382653E+0 1.5626026E+21
1.3267218E+0 1.5854112E+21
1.3151901E+0 1.5743965E+21
1.3032779E+0 1.5716605E+21
1.2914953E+0 1.5658376E+21
1.2792727E+0 1.5329607E+21
1.2667422E+0 1.5358377E+21
1.2543257E+0 1.5641527E+21
1.2420042E+0 1.5398656E+21
1.2289397E+0 1.5191222E+21
1.2160072E+0 1.5364703E+21
1.2029602E+0 1.5240524E+21
1.1895290E+0 1.5277895E+21
1.1762546E+0 1.5291462E+21
1.1625391E+0 1.4986203E+21
1.1483900E+0 1.5028905E+21
1.1344188E+0 1.4969997E+21
1.1198010E+0 1.4799736E+21
1.1051310E+0 1.4895947E+21
1.0903149E+0 1.4760056E+21
1.0749637E+0 1.4613629E+21
1.0594149E+0 1.4701933E+21
1.0438004E+0 1.4553213E+21
1.0274520E+0 1.4300982E+21
1.0107623E+0 1.4189326E+21
9.9360183E-1 1.4111224E+21
