N x
1.5602131E+0 1.2512923E+21
1.5477324E+0 1.2604114E+21
1.5353331E+0 1.2739627E+21
1.5229175E+0 1.2925347E+21
1.5106768E+0 1.3198609E+21
1.4985758E+0 1.3270338E+21
1.4862684E+0 1.3226554E+21
1.4738849E+0 1.3244546E+21
1.4614037E+0 1.3266714E+21
1.4488499E+0 1.3363024E+21
1.4363347E+0 1.3523067E+21
1.4238618E+0 1.3522746E+21
1.4111244E+0 1.3279209E+21
1.3979558E+0 1.3328716E+21
1.3850783E+0 1.3544589E+21
1.3720827E+0 1.3393424E+21
1.3586623E+0 1.3258249E+21
1.3451370E+0 1.3386712E+21
1.3317089E+0 1.3350899E+21
1.3178332E+0 1.3293209E+21
1.3040030E+0 1.3354662E+21
1.2899595E+0 1.3101590E+21
1.2752768E+0 1.3139285E+21
1.2609977E+0 1.3178448E+21
1.2460618E+0 1.3035635E+21
1.2311163E+0 1.3179738E+21
1.2161482E+0 1.2976870E+21
1.2003510E+0 1.2819274E+21
1.1846062E+0 1.3008322E+21
1.1688534E+0 1.2964331E+21
1.1525687E+0 1.2713702E+21
1.1357222E+0 1.2635889E+21
1.1187453E+0 1.2729130E+21
1.1016370E+0 1.2585642E+21
1.0837254E+0 1.2279627E+21
1.0651533E+0 1.2159973E+21
1.0462459E+0 1.2169557E+21
1.0270269E+0 1.2102916E+21
1.0071861E+0 1.1919014E+21
9.8657996E-1 1.1818073E+21
9.6554853E-1 1.1822061E+21
