N x
1.5060670E+0 1.6351461E+21
1.4961799E+0 2.4079691E+21
1.4926233E+0 1.5252494E+21
1.4747576E+0 1.1353775E+21
1.4637027E+0 1.2384293E+21
1.4479384E+0 1.0804094E+21
1.4326817E+0 1.0745881E+21
1.4164004E+0 1.1361495E+21
1.4025463E+0 1.4261897E+21
1.3921657E+0 1.2025918E+21
1.3734685E+0 1.1832566E+21
1.3623825E+0 1.3054924E+21
1.3461271E+0 1.1286963E+21
1.3304440E+0 1.0899505E+21
1.3126294E+0 1.1476988E+21
1.2982682E+0 1.2040397E+21
1.2815509E+0 1.1992295E+21
1.2667098E+0 1.2870737E+21
1.2517791E+0 1.2107643E+21
1.2346572E+0 1.1168481E+21
1.2165663E+0 1.1132477E+21
1.1988244E+0 1.1496242E+21
1.1813527E+0 1.2748763E+21
1.1666347E+0 1.2654437E+21
1.1484265E+0 1.1358854E+21
1.1294140E+0 1.1845101E+21
1.1121740E+0 1.2395383E+21
1.0941946E+0 1.2124423E+21
1.0755773E+0 1.2001257E+21
1.0565868E+0 1.1751710E+21
1.0364665E+0 1.2478810E+21
1.0191099E+0 1.2666223E+21
9.9881093E-1 1.2127481E+21
9.7905101E-1 1.2246843E+21
9.5831060E-1 1.2439811E+21
9.3835302E-1 1.1766690E+21
9.1425418E-1 1.1874796E+21
8.9373314E-1 1.2927922E+21
8.7222274E-1 1.1893367E+21
8.4684067E-1 1.1743768E+21
8.2347615E-1 1.2436975E+21
