N x
1.4367722E+0 1.3557137E+21
1.4267702E+0 1.3051391E+21
1.4159139E+0 1.3416829E+21
1.4063398E+0 1.3780521E+21
1.3958718E+0 1.3576883E+21
1.3858543E+0 1.3967118E+21
1.3758114E+0 1.4202980E+21
1.3659848E+0 1.4285238E+21
1.3559108E+0 1.3938913E+21
1.3454370E+0 1.3981641E+21
1.3352718E+0 1.4214340E+21
1.3249780E+0 1.4244397E+21
1.3146984E+0 1.3943369E+21
1.3037910E+0 1.3964274E+21
1.2933752E+0 1.4268752E+21
1.2827491E+0 1.4183490E+21
1.2720324E+0 1.4078431E+21
1.2610645E+0 1.3982698E+21
1.2500109E+0 1.4069103E+21
1.2389857E+0 1.4013445E+21
1.2276441E+0 1.4100288E+21
1.2165564E+0 1.4076903E+21
1.2049658E+0 1.3999066E+21
1.1935390E+0 1.4004019E+21
1.1817309E+0 1.3996729E+21
1.1700649E+0 1.3974372E+21
1.1579791E+0 1.3891344E+21
1.1459264E+0 1.4013522E+21
1.1337983E+0 1.4080661E+21
1.1216036E+0 1.3893047E+21
1.1088738E+0 1.3798225E+21
1.0962267E+0 1.3611717E+21
1.0828426E+0 1.3800688E+21
1.0702529E+0 1.3996544E+21
1.0569125E+0 1.3647059E+21
1.0433294E+0 1.3629232E+21
1.0296040E+0 1.3703073E+21
1.0158069E+0 1.3644752E+21
1.0015836E+0 1.3645996E+21
9.8739766E-1 1.3655920E+21
9.7278027E-1 1.3541600E+21
9.5791745E-1 1.3506519E+21
9.4276414E-1 1.3478566E+21
9.2735612E-1 1.3542736E+21
9.1184470E-1 1.3542038E+21
8.9590342E-1 1.3354175E+21
8.7937909E-1 1.3377536E+21
8.6289706E-1 1.3439353E+21
8.4588593E-1 1.3382442E+21
8.2858977E-1 1.3472742E+21
8.1109902E-1 1.3539122E+21
