name time T kT_1 I
00 13:44:18 290.4 39.92 1.428E-005
00 13:48:14 290.4 39.92 1.433E-005
00 13:58:12 295.3 39.26 1.802E-005
00 14:11:04 299.1 38.76 2.152E-005
00 14:22:42 303.3 38.23 2.924E-005
00 14:35:56 306.6 37.82 3.606E-005
00 14:45:02 310.7 37.32 4.738E-005
00 14:55:12 314.9 36.82 6.022E-005
00 15:13:52 320.2 36.21 7.400E-005
001 15:29:50 324.2 35.76 1.034E-004
001 15:36:56 327.7 35.38 1.141E-004
001 15:56:12 332.7 34.85 1.369E-004
001 16:01:32 335.9 34.52 1.664E-004
001 16:11:32 341.2 33.98 1.945E-004
