name time T kT_1 I
00 13:44:18 290.4 39.92 5.168E-006
00 13:48:14 290.4 39.92 5.383E-006
00 13:58:12 295.3 39.26 5.909E-006
00 14:11:04 299.1 38.76 6.229E-006
00 14:22:42 303.3 38.23 7.467E-006
00 14:35:56 306.6 37.82 8.278E-006
00 14:45:02 310.7 37.32 9.745E-006
00 14:55:12 314.9 36.82 1.132E-005
00 15:13:52 320.2 36.21 1.295E-005
001 15:29:50 324.2 35.76 1.632E-005
001 15:36:56 327.7 35.38 1.890E-005
001 15:56:12 332.7 34.85 2.141E-005
001 16:01:32 335.9 34.52 2.521E-005
001 16:11:32 341.2 33.98 3.123E-005
