name time T kT_1 I
00 13:44:18 290.4 39.92 6.020E-008
00 13:48:14 290.4 39.92 5.969E-008
00 13:58:12 295.3 39.26 1.534E-007
00 14:11:04 299.1 38.76 7.907E-008
00 14:22:42 303.3 38.23 1.488E-007
00 14:35:56 306.6 37.82 1.299E-007
00 14:45:02 310.7 37.32 1.776E-007
00 14:55:12 314.9 36.82 2.224E-007
00 15:13:52 320.2 36.21 2.828E-007
001 15:29:50 324.2 35.76 3.776E-007
001 15:36:56 327.7 35.38 4.519E-007
001 15:56:12 332.7 34.85 5.668E-007
001 16:01:32 335.9 34.52 7.108E-007
001 16:11:32 341.2 33.98 9.278E-007
