fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
T010 8:20:50 292.5 39.64 1.000E+000 7.537E-001 1.445E-006 2.082E+003 3.097E+000 4.918E-009 1.503E-003 
T020 9:10:56 295.8 39.2 1.000E+000 7.442E-001 1.595E-006 2.044E+003 3.035E+000 6.212E-009 1.907E-003 
T030 9:35:02 298.6 38.83 1.000E+000 7.361E-001 1.651E-006 2.009E+003 2.984E+000 7.428E-009 1.325E-003 
T040 9:56:20 302.4 38.34 1.000E+000 7.252E-001 1.740E-006 1.957E+003 2.917E+000 9.378E-009 1.183E-003 
T050 10:18:34 305.8 37.91 1.000E+000 7.154E-001 1.777E-006 1.904E+003 2.857E+000 1.143E-008 1.055E-003 
T060 10:45:14 309.6 37.45 1.000E+000 7.044E-001 1.869E-006 1.846E+003 2.793E+000 1.423E-008 9.469E-004 
T070 11:08:14 313.7 36.96 1.000E+000 6.926E-001 1.936E-006 1.769E+003 2.724E+000 1.781E-008 8.798E-004 
T080 11:29:44 317.2 36.55 1.000E+000 6.825E-001 2.048E-006 1.708E+003 2.668E+000 2.133E-008 7.738E-004 
T090 11:51:24 321.4 36.07 1.000E+000 6.704E-001 2.168E-006 1.621E+003 2.601E+000 2.622E-008 7.685E-004 
T100 12:11:58 324.5 35.73 1.000E+000 6.615E-001 2.282E-006 1.545E+003 2.553E+000 3.029E-008 6.749E-004 
T110 12:33:56 328.1 35.34 1.000E+000 6.511E-001 2.398E-006 1.454E+003 2.499E+000 3.617E-008 5.427E-004 
T120 12:58:16 331.1 35.02 1.000E+000 6.424E-001 2.587E-006 1.377E+003 2.454E+000 4.142E-008 4.526E-004 
T130 13:25:16 334.3 34.68 1.000E+000 6.332E-001 2.777E-006 1.297E+003 2.408E+000 4.785E-008 4.480E-004 
T140 13:45:00 337.5 34.35 1.000E+000 6.240E-001 2.960E-006 1.223E+003 2.362E+000 5.480E-008 1.058E-003 
T150 14:06:08 340.7 34.03 1.000E+000 6.148E-001 3.197E-006 1.154E+003 2.317E+000 6.260E-008 6.475E-004 
