N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.187489956E+00 1.182970083E+00 1.178777535E+00 1.174825069E+00
1.600000000E+01 1.227488902E+00 1.224521532E+00 1.222435634E+00 1.220565045E+00
1.700000000E+01 1.254050481E+00 1.253046919E+00 1.252240479E+00 1.251979338E+00
1.549996187E+01 1.212672016E+00 1.209845881E+00 1.207545064E+00 1.205281262E+00
1.649996187E+01 1.232561178E+00 1.229863132E+00 1.228353130E+00 1.227192392E+00
1.674996808E+01 1.239462020E+00 1.237732849E+00 1.236394714E+00 1.235914677E+00
1.624993176E+01 1.230373342E+00 1.227568988E+00 1.225701882E+00 1.224092380E+00
1.574996808E+01 1.220534422E+00 1.217685455E+00 1.215552915E+00 1.213509357E+00
1.524993176E+01 1.205533617E+00 1.202455973E+00 1.199730147E+00 1.197255341E+00
