N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.191537508E+00 1.177285599E+00 1.148622902E+00 1.091470623E+00 1.012817839E+00 1.013187101E+00 1.015266335E+00 1.019650268E+00 1.027227632E+00 1.039042729E+00 1.056028531E+00
1.600000000E+01 1.243264745E+00 1.244973903E+00 1.247043094E+00 1.249215220E+00 1.250831608E+00 1.251293187E+00 1.249682701E+00 1.244203587E+00 1.232463915E+00 1.210214418E+00 1.171601463E+00
1.700000000E+01 1.302596764E+00 1.303233305E+00 1.304913382E+00 1.307613731E+00 1.310823258E+00 1.314628922E+00 1.318670875E+00 1.322534736E+00 1.326250118E+00 1.329053299E+00 1.330850310E+00
1.549996187E+01 1.221248389E+00 1.221780748E+00 1.221200289E+00 1.217850882E+00 1.209023161E+00 1.189540405E+00 1.151543995E+00 1.085046473E+00 1.008939942E+00 1.009220766E+00 1.010422622E+00
1.649996187E+01 1.271271553E+00 1.272446758E+00 1.274469530E+00 1.277095145E+00 1.280011862E+00 1.283078376E+00 1.285926880E+00 1.287929507E+00 1.288909685E+00 1.288137080E+00 1.284878744E+00
1.674996808E+01 1.286488848E+00 1.287388029E+00 1.289283671E+00 1.291989492E+00 1.295225843E+00 1.298444518E+00 1.301941517E+00 1.305064652E+00 1.307676419E+00 1.309398529E+00 1.309585552E+00
1.624993176E+01 1.256999865E+00 1.258619765E+00 1.260801262E+00 1.263336958E+00 1.265868390E+00 1.267608475E+00 1.269051211E+00 1.269049025E+00 1.266512953E+00 1.260278171E+00 1.246371617E+00
1.574996808E+01 1.232174592E+00 1.233618251E+00 1.235039598E+00 1.235829667E+00 1.234993763E+00 1.230611908E+00 1.220019640E+00 1.198405773E+00 1.159099622E+00 1.093413944E+00 1.007502813E+00
1.524993176E+01 1.209277790E+00 1.206753546E+00 1.199655839E+00 1.183137331E+00 1.148931448E+00 1.085203237E+00 1.010683367E+00 1.011062499E+00 1.012715575E+00 1.016073567E+00 1.021756173E+00
