N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 2.674522000E-02 2.675466400E-02 2.595855100E-02 2.633901900E-02
1.016672606E+01 2.674443200E-02 2.675406700E-02 2.595835900E-02 2.633923800E-02
1.033324570E+01 2.674327100E-02 2.673487800E-02 2.595806100E-02 2.633950600E-02
1.049996187E+01 2.674157500E-02 2.673012200E-02 2.595756500E-02 2.633978100E-02
1.066670514E+01 2.673906800E-02 2.670730300E-02 2.595246300E-02 2.633992900E-02
1.083333839E+01 2.673536100E-02 2.669148800E-02 2.594873900E-02 2.633965900E-02
1.100000000E+01 2.672985900E-02 2.667542500E-02 2.594479600E-02 2.633838700E-02
1.116672606E+01 2.672167500E-02 2.665926800E-02 2.593873200E-02 2.633505600E-02
1.133324570E+01 2.669638900E-02 2.664411400E-02 2.592801200E-02 2.632803300E-02
1.149996187E+01 2.664950800E-02 2.663032200E-02 2.591333800E-02 2.631525900E-02
1.166670514E+01 2.661833800E-02 2.661299100E-02 2.589136900E-02 2.629478700E-02
1.183333839E+01 2.658180200E-02 2.659191400E-02 2.586115400E-02 2.626118800E-02
1.200000000E+01 2.653426600E-02 2.656407000E-02 2.580505500E-02 2.622099900E-02
1.216672606E+01 2.647217400E-02 2.651755400E-02 2.576052100E-02 2.618202800E-02
1.233324570E+01 2.639747300E-02 2.646400200E-02 2.571218500E-02 2.613912900E-02
1.249996187E+01 2.630998300E-02 2.638598300E-02 2.565993400E-02 2.608829700E-02
1.266670514E+01 2.620416300E-02 2.631252400E-02 2.559938300E-02 2.602331300E-02
1.283333839E+01 2.608385000E-02 2.621314900E-02 2.551282200E-02 2.593242900E-02
1.300000000E+01 2.594339300E-02 2.608320300E-02 2.541585200E-02 2.581158000E-02
