X Y Yfit Y1 Y2
5.000E-2 8.400E-10 7.705E-15 7.705E-15 0.000E+0
9.572E-2 2.980E-9 1.863E-13 1.863E-13 0.000E+0
1.501E-1 3.850E-9 1.692E-12 1.692E-12 0.000E+0
2.004E-1 5.650E-9 6.985E-12 6.985E-12 0.000E+0
2.511E-1 5.930E-9 2.112E-11 2.112E-11 0.000E+0
3.000E-1 8.520E-9 5.054E-11 5.054E-11 0.000E+0
3.496E-1 1.460E-8 1.070E-10 1.070E-10 0.000E+0
3.992E-1 1.940E-8 2.052E-10 2.052E-10 0.000E+0
4.506E-1 2.652E-8 3.717E-10 3.717E-10 0.000E+0
5.049E-1 2.860E-8 6.495E-10 6.495E-10 0.000E+0
5.515E-1 4.652E-8 1.001E-9 1.001E-9 0.000E+0
5.978E-1 5.837E-8 1.487E-9 1.487E-9 0.000E+0
6.510E-1 7.335E-8 2.259E-9 2.259E-9 0.000E+0
7.001E-1 9.806E-8 3.227E-9 3.227E-9 0.000E+0
7.471E-1 1.240E-7 4.439E-9 4.439E-9 0.000E+0
7.993E-1 1.473E-7 6.182E-9 6.182E-9 0.000E+0
8.994E-1 1.933E-7 1.103E-8 1.103E-8 0.000E+0
9.996E-1 2.443E-7 1.851E-8 1.851E-8 0.000E+0
1.194E+0 3.449E-7 4.426E-8 4.426E-8 0.000E+0
1.380E+0 4.462E-7 9.004E-8 9.004E-8 0.000E+0
1.570E+0 5.529E-7 1.695E-7 1.695E-7 0.000E+0
1.756E+0 6.654E-7 2.936E-7 2.936E-7 0.000E+0
2.005E+0 8.559E-7 5.626E-7 5.626E-7 0.000E+0
2.183E+0 1.081E-6 8.539E-7 8.539E-7 0.000E+0
2.375E+0 1.484E-6 1.291E-6 1.291E-6 0.000E+0
2.596E+0 2.088E-6 1.998E-6 1.998E-6 0.000E+0
2.786E+0 2.867E-6 2.825E-6 2.825E-6 0.000E+0
2.981E+0 3.890E-6 3.936E-6 3.936E-6 0.000E+0
3.165E+0 5.204E-6 5.281E-6 5.281E-6 0.000E+0
3.351E+0 6.810E-6 6.988E-6 6.988E-6 0.000E+0
3.602E+0 9.587E-6 9.958E-6 9.958E-6 0.000E+0
3.803E+0 1.293E-5 1.300E-5 1.300E-5 0.000E+0
3.999E+0 1.660E-5 1.663E-5 1.663E-5 0.000E+0
4.195E+0 2.100E-5 2.103E-5 2.103E-5 0.000E+0
4.388E+0 2.628E-5 2.622E-5 2.622E-5 0.000E+0
4.583E+0 3.279E-5 3.246E-5 3.246E-5 0.000E+0
4.776E+0 4.009E-5 3.973E-5 3.973E-5 0.000E+0
4.967E+0 4.850E-5 4.816E-5 4.816E-5 0.000E+0
5.170E+0 5.922E-5 5.862E-5 5.862E-5 0.000E+0
