fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
0UT1 7:12 292.1 39.69 1.000E+000 2.019E+000 1.540E-005 2.144E+004 2.777E+000 1.298E-008 1.825E-003 
0UT2 7:32 295.6 39.22 1.000E+000 2.135E+000 1.322E-005 1.915E+004 2.767E+000 1.457E-008 2.145E-003 
0UT3 7:49 298.7 38.82 1.000E+000 2.257E+000 1.212E-005 1.721E+004 2.744E+000 1.661E-008 1.645E-003 
0UT4 8:6 301.2 38.49 1.000E+000 2.226E+000 1.415E-005 1.572E+004 2.727E+000 1.843E-008 1.593E-003 
0UT5 8:25 304.1 38.13 1.000E+000 2.372E+000 1.251E-005 1.408E+004 2.725E+000 1.986E-008 1.590E-003 
0UT7 9:1 309.9 37.41 1.000E+000 2.532E+000 1.208E-005 1.108E+004 2.699E+000 2.445E-008 1.494E-003 
0UT8 9:21 312.5 37.1 1.000E+000 2.724E+000 1.081E-005 9.866E+003 2.679E+000 2.688E-008 6.480E-004 
0UT9 9:38 315.2 36.78 1.000E+000 2.643E+000 1.178E-005 8.702E+003 2.664E+000 2.945E-008 8.228E-004 
UT10 10:0 318.1 36.45 1.000E+000 2.686E+000 1.103E-005 7.564E+003 2.672E+000 3.146E-008 1.523E-003 
UT11 10:16 320.7 36.15 1.000E+000 2.688E+000 1.242E-005 6.645E+003 2.636E+000 3.536E-008 1.075E-003 
UT12 10:35 323.8 35.81 1.000E+000 2.711E+000 1.128E-005 5.681E+003 2.648E+000 3.730E-008 1.226E-003 
UT13 10:53 327.5 35.4 1.000E+000 2.777E+000 1.210E-005 4.726E+003 2.625E+000 4.218E-008 1.186E-003 
UT14 11:9 330.5 35.08 1.000E+000 2.831E+000 1.192E-005 4.114E+003 2.618E+000 4.568E-008 8.228E-004 
UT15 11:23 332.6 34.86 1.000E+000 2.790E+000 1.475E-005 3.777E+003 2.585E+000 5.010E-008 7.312E-004 
