d Bo nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 1.500000000E+01 1.026514953E+00 1.178268453E+00 -1.517535000E-01 1.026536677E+00 1.178249259E+00 -1.517125820E-01 -2.172400000E-05 1.919400000E-05
150 1.524993176E+01 1.167800502E+00 1.207161456E+00 -3.936095400E-02 1.167794342E+00 1.207123213E+00 -3.932887100E-02 6.160000000E-06 3.824300000E-05
150 1.549996187E+01 1.224684815E+00 1.217820678E+00 6.864137000E-03 1.224651025E+00 1.217762077E+00 6.888948000E-03 3.379000000E-05 5.860100000E-05
150 1.574996808E+01 1.249866971E+00 1.227555984E+00 2.231098700E-02 1.249796515E+00 1.227471760E+00 2.232475500E-02 7.045600000E-05 8.422400000E-05
150 1.600000000E+01 1.266875542E+00 1.237226366E+00 2.964917600E-02 1.266741778E+00 1.237109466E+00 2.963231200E-02 1.337640000E-04 1.169000000E-04
150 1.624993176E+01 1.282212877E+00 1.243830711E+00 3.838216600E-02 1.281955503E+00 1.243672215E+00 3.828328800E-02 2.573740000E-04 1.584960000E-04
150 1.649996187E+01 1.298036870E+00 1.249628199E+00 4.840867100E-02 1.297526499E+00 1.249419791E+00 4.810670800E-02 5.103710000E-04 2.084080000E-04
150 1.674996808E+01 1.317843708E+00 1.260446734E+00 5.739697400E-02 1.316806451E+00 1.260162660E+00 5.664379100E-02 1.037257000E-03 2.840740000E-04
150 1.700000000E+01 1.339154709E+00 1.278438067E+00 6.071664200E-02 1.337028923E+00 1.278041327E+00 5.898759600E-02 2.125786000E-03 3.967400000E-04
180 1.500000000E+01 1.036360245E+00 1.175786266E+00 -1.394260210E-01 1.036377155E+00 1.175768437E+00 -1.393912820E-01 -1.691000000E-05 1.782900000E-05
180 1.524993176E+01 1.171287516E+00 1.205428996E+00 -3.414148000E-02 1.171279809E+00 1.205394120E+00 -3.411431100E-02 7.707000000E-06 3.487600000E-05
180 1.549996187E+01 1.223479805E+00 1.216151353E+00 7.328452000E-03 1.223447532E+00 1.216098094E+00 7.349438000E-03 3.227300000E-05 5.325900000E-05
180 1.574996808E+01 1.248530265E+00 1.226200539E+00 2.232972600E-02 1.248464469E+00 1.226122991E+00 2.234147800E-02 6.579600000E-05 7.754800000E-05
180 1.600000000E+01 1.265790443E+00 1.236179321E+00 2.961112200E-02 1.265665927E+00 1.236069474E+00 2.959645300E-02 1.245160000E-04 1.098470000E-04
180 1.624993176E+01 1.281271896E+00 1.243057348E+00 3.821454800E-02 1.281032609E+00 1.242906807E+00 3.812580200E-02 2.392870000E-04 1.505410000E-04
180 1.649996187E+01 1.297641181E+00 1.249032899E+00 4.860828200E-02 1.297163650E+00 1.248829208E+00 4.833444200E-02 4.775310000E-04 2.036910000E-04
180 1.674996808E+01 1.315773059E+00 1.260330236E+00 5.544282300E-02 1.314790382E+00 1.260049015E+00 5.474136700E-02 9.826770000E-04 2.812210000E-04
180 1.700000000E+01 1.338427909E+00 1.278455596E+00 5.997231300E-02 1.336388773E+00 1.278062178E+00 5.832659500E-02 2.039136000E-03 3.934180000E-04
210 1.500000000E+01 1.044588591E+00 1.174039983E+00 -1.294513920E-01 1.044601093E+00 1.174022646E+00 -1.294215530E-01 -1.250200000E-05 1.733700000E-05
210 1.524993176E+01 1.173362829E+00 1.203859800E+00 -3.049697100E-02 1.173353489E+00 1.203826959E+00 -3.047347000E-02 9.340000000E-06 3.284100000E-05
210 1.549996187E+01 1.224170175E+00 1.215119355E+00 9.050820000E-03 1.224138495E+00 1.215069403E+00 9.069092000E-03 3.168000000E-05 4.995200000E-05
210 1.574996808E+01 1.247837594E+00 1.225480866E+00 2.235672800E-02 1.247774686E+00 1.225406478E+00 2.236820800E-02 6.290800000E-05 7.438800000E-05
210 1.600000000E+01 1.265031849E+00 1.235897697E+00 2.913415200E-02 1.264913353E+00 1.235792324E+00 2.912102900E-02 1.184960000E-04 1.053730000E-04
210 1.624993176E+01 1.280923946E+00 1.242932535E+00 3.799141100E-02 1.280695457E+00 1.242784468E+00 3.791098900E-02 2.284890000E-04 1.480670000E-04
210 1.649996187E+01 1.297347421E+00 1.249064662E+00 4.828275900E-02 1.296888284E+00 1.248863021E+00 4.802526300E-02 4.591370000E-04 2.016410000E-04
210 1.674996808E+01 1.315750006E+00 1.260003830E+00 5.574617600E-02 1.314798400E+00 1.259723531E+00 5.507486900E-02 9.516060000E-04 2.802990000E-04
210 1.700000000E+01 1.336719918E+00 1.278267488E+00 5.845243000E-02 1.334720072E+00 1.277872309E+00 5.684776300E-02 1.999846000E-03 3.951790000E-04
240 1.500000000E+01 1.048967680E+00 1.172477567E+00 -1.235098870E-01 1.048976374E+00 1.172460137E+00 -1.234837630E-01 -8.694000000E-06 1.743000000E-05
240 1.524993176E+01 1.174775987E+00 1.202643582E+00 -2.786759500E-02 1.174765100E+00 1.202611961E+00 -2.784686100E-02 1.088700000E-05 3.162100000E-05
240 1.549996187E+01 1.224391104E+00 1.214153100E+00 1.023800400E-02 1.224359683E+00 1.214105384E+00 1.025429900E-02 3.142100000E-05 4.771600000E-05
240 1.574996808E+01 1.248209807E+00 1.224989313E+00 2.322049400E-02 1.248148624E+00 1.224918704E+00 2.322992000E-02 6.118300000E-05 7.060900000E-05
240 1.600000000E+01 1.264417811E+00 1.235561074E+00 2.885673700E-02 1.264303205E+00 1.235457522E+00 2.884568300E-02 1.146060000E-04 1.035520000E-04
240 1.624993176E+01 1.280368348E+00 1.242979064E+00 3.738928400E-02 1.280147122E+00 1.242834694E+00 3.731242800E-02 2.212260000E-04 1.443700000E-04
240 1.649996187E+01 1.297328050E+00 1.249163115E+00 4.816493500E-02 1.296881176E+00 1.248962919E+00 4.791825700E-02 4.468740000E-04 2.001960000E-04
240 1.674996808E+01 1.315749998E+00 1.260242333E+00 5.550766500E-02 1.314817653E+00 1.259959613E+00 5.485804000E-02 9.323450000E-04 2.827200000E-04
240 1.700000000E+01 1.336966663E+00 1.278146321E+00 5.882034200E-02 1.334989934E+00 1.277749929E+00 5.724000500E-02 1.976729000E-03 3.963920000E-04
