fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
0UL1 10:37 303.6 38.19 1.000E+000 2.159E+000 1.747E-010 5.800E+004 2.487E+000 2.784E-006 1.466E-004 2.560E-001 1.466E-004 1.843E-005 4.909E-001 1.720E-001 1.071E-004 2.695E-003 
0UL2 11:1 307.2 37.74 1.000E+000 2.188E+000 3.413E-010 5.049E+004 2.500E+000 3.625E-006 1.484E-004 2.438E-001 1.484E-004 1.728E-005 4.777E-001 1.620E-001 1.066E-004 1.256E-003 
0UL3 11:15 309.3 37.49 1.000E+000 2.282E+000 4.804E-010 4.641E+004 2.494E+000 4.107E-006 1.455E-004 2.354E-001 1.454E-004 1.608E-005 4.696E-001 1.553E-001 1.035E-004 1.963E-003 
0UL4 11:43 311.6 37.21 1.000E+000 2.303E+000 6.854E-010 4.219E+004 2.482E+000 4.659E-006 1.483E-004 2.289E-001 1.482E-004 1.573E-005 4.636E-001 1.503E-001 1.046E-004 2.372E-003 
0UL5 12:0 313.5 36.98 1.000E+000 2.291E+000 9.340E-010 3.892E+004 2.495E+000 5.468E-006 1.486E-004 2.212E-001 1.486E-004 1.495E-005 4.549E-001 1.442E-001 1.036E-004 4.232E-003 
0UL6 12:28 316.1 36.68 1.000E+000 2.267E+000 1.340E-009 3.473E+004 2.489E+000 6.376E-006 1.490E-004 2.125E-001 1.490E-004 1.412E-005 4.460E-001 1.373E-001 1.028E-004 1.269E-002 
0UL7 12:46 318.5 36.4 1.000E+000 2.287E+000 1.962E-009 3.116E+004 2.487E+000 7.406E-006 1.496E-004 2.042E-001 1.495E-004 1.336E-005 4.375E-001 1.310E-001 1.019E-004 2.917E-003 
0UL8 13:14 321.1 36.11 1.000E+000 2.344E+000 2.793E-009 2.763E+004 2.480E+000 8.582E-006 1.499E-004 1.957E-001 1.499E-004 1.257E-005 4.287E-001 1.245E-001 1.009E-004 1.780E-003 
0UL9 13:30 323.8 35.81 1.000E+000 2.314E+000 4.053E-009 2.433E+004 2.463E+000 9.891E-006 1.503E-004 1.867E-001 1.502E-004 1.179E-005 4.202E-001 1.178E-001 9.997E-005 2.378E-003 
UL10 13:53 325.9 35.58 1.000E+000 2.344E+000 5.560E-009 2.201E+004 2.466E+000 1.128E-005 1.505E-004 1.795E-001 1.504E-004 1.113E-005 4.124E-001 1.124E-001 9.897E-005 2.612E-003 
UL11 14:8 328.7 35.27 1.000E+000 2.323E+000 7.832E-009 1.927E+004 2.432E+000 1.254E-005 1.505E-004 1.715E-001 1.504E-004 1.046E-005 4.055E-001 1.067E-001 9.794E-005 2.852E-003 
UL12 14:29 331 35.03 1.000E+000 2.408E+000 1.152E-008 1.732E+004 2.454E+000 1.480E-005 1.509E-004 1.635E-001 1.508E-004 9.767E-006 3.961E-001 1.008E-001 9.680E-005 9.690E-004 
