name T n1 I01 n2 I02 Rs Rsh
d41iv3pr 296.91 1.0000000E+0 5.0751510E-31 3.1368817E+0 2.4201733E-6 2.8997568E+1 3.8338439E+4
d41iv2pr 296.92 1.0000000E+0 1.0000000E-35 3.1400519E+0 2.4306836E-6 2.9053953E+1 3.8676150E+4
d41iv1pr 296.92 1.0000000E+0 1.0000000E-35 3.1694454E+0 2.5355674E-6 2.8470501E+1 4.2307615E+4
d63ai4pr 294.19 1.0000000E+0 2.0791519E-12 2.4792110E+0 3.4670468E-7 7.9878444E+0 2.2283653E+5
d63ai3pr 294.17 1.0000000E+0 2.1917371E-12 2.5085281E+0 3.7551213E-7 8.1163356E+0 2.8394331E+5
d63ai2pr 294.13 1.0000000E+0 2.1226421E-12 2.4895380E+0 3.6015588E-7 8.0368034E+0 2.7158587E+5
d63ai1pr 294.06 1.0000000E+0 2.1887790E-12 2.5209973E+0 3.8698475E-7 8.0644312E+0 3.9255770E+5
d63ai1pr 294.06 1.0000000E+0 1.7393086E-12 2.4650055E+0 3.4715488E-7 7.5301892E+0 2.8963674E+5
d63bi4pr 293.97 8.2188508E-1 1.8247808E-14 2.7360123E+0 5.6156811E-7 1.3407127E+1 1.1773913E+6
d63bi3pr 293.99 8.1122034E-1 1.2999826E-14 2.7053268E+0 5.2886413E-7 1.3414495E+1 4.9186982E+5
d63bi2pr 294 8.2807120E-1 2.2218898E-14 2.7443470E+0 5.7653502E-7 1.3353863E+1 1.4328489E+6
d63bi1pr 294.02 8.3061057E-1 2.3941412E-14 2.7469338E+0 5.8340807E-7 1.3309067E+1 1.3025250E+6
d83ai4pr 295.89 1.0000000E+0 2.5516630E-25 1.2050468E+0 2.0128408E-6 1.7643269E+1 9.4288700E+19
d83ai3pr 295.91 1.0000000E+0 7.1382587E-23 1.2040084E+0 2.0193998E-6 1.7651403E+1 1.0000000E+20
d83ai2pr 295.93 1.0000000E+0 2.0535728E-22 1.2055415E+0 2.0439284E-6 1.7639202E+1 9.8034583E+19
d83ai1pr 295.95 1.0000000E+0 1.0911954E-22 1.2065786E+0 2.0741273E-6 1.7623891E+1 9.9855369E+19
d83bi4pr 296.02 1.0000000E+0 8.4336195E-13 2.7240779E+0 1.0628471E-6 1.3117617E+1 6.6860005E+19
d83bi3pr 296.03 1.0000000E+0 3.2493209E-31 2.6814631E+0 1.0006912E-6 7.7298487E+0 1.6868976E+6
d83bi2pr 296.02 1.0000000E+0 1.9578325E-32 2.6831197E+0 1.0078690E-6 7.7503008E+0 2.7806466E+6
d83bi1pr 296.01 1.0000000E+0 8.8367285E-34 2.6842590E+0 1.0106720E-6 7.7391932E+0 2.1151996E+6
d62ai4pr 293.96 1.0000000E+0 1.0000000E-35 1.5070312E+0 3.8366656E-6 3.4643085E+1 9.7340504E+19
d62ai3pr 293.98 1.0000000E+0 8.5247084E-29 1.5061960E+0 3.8226033E-6 3.4610215E+1 9.4663940E+19
d62ai2pr 293.99 1.0000000E+0 4.4561260E-32 1.5071371E+0 3.8545697E-6 3.4636049E+1 9.8952748E+19
d62ai1pr 294 1.0000000E+0 1.0528851E-23 1.5083663E+0 3.8711128E-6 3.4597543E+1 1.0000000E+20
d62bi4pr 294 1.0000000E+0 1.2905802E-12 2.4251906E+0 2.4265824E-7 9.7691513E+0 3.9543360E+5
d62bi3pr 294.02 1.0000000E+0 1.3544132E-12 2.4502316E+0 2.6005505E-7 9.8672408E+0 6.5599430E+5
d62bi2pr 294.02 1.0000000E+0 1.3620105E-12 2.4487514E+0 2.6029861E-7 9.8650310E+0 6.1491380E+5
d62bi1pr 294.01 1.0000000E+0 1.3597418E-12 2.4376256E+0 2.5463425E-7 9.8630099E+0 4.9215522E+5
d42iv3pr 296.8 1.0000000E+0 1.0553449E-26 2.6903332E+0 2.2229442E-6 1.3095839E+2 1.2507218E+5
d42iv2pr 296.82 1.0000000E+0 1.0000000E-35 2.6856950E+0 2.2065221E-6 1.3090058E+2 1.1595813E+5
d42iv1pr 296.85 1.0000000E+0 1.0000000E-35 2.6962694E+0 2.2469250E-6 1.3008969E+2 1.2969061E+5
d61ai4pr 294.13 1.0000000E+0 2.8009157E-12 3.8755769E+0 8.0437298E-6 1.1996040E+1 1.3520613E+4
d61ai3pr 294.11 1.0000000E+0 2.9622682E-12 3.9096772E+0 8.2438287E-6 1.2145447E+1 6.1571340E+3
d61ai2pr 294.06 1.0000000E+0 2.8559096E-12 3.8392907E+0 7.5511075E-6 1.2085968E+1 6.4324577E+3
d61ai1pr 294.01 1.0000000E+0 2.1675710E-12 3.5742427E+0 5.9479584E-6 1.1502041E+1 1.3657270E+4
d61bi4pr 293.95 1.0000000E+0 6.2852508E-26 3.2913557E+0 9.6775397E-6 3.2782538E+2 2.2959560E+19
d61bi3pr 293.98 1.0000000E+0 6.2804676E-26 3.2996938E+0 1.0035434E-5 3.2778647E+2 1.3598649E+19
d61bi2pr 294 1.0000000E+0 5.3784572E-26 3.3600662E+0 1.0619967E-5 3.1948166E+2 1.3832065E+19
d61bi1pr 294.02 1.0000000E+0 5.9357563E-26 3.3886136E+0 1.1276759E-5 3.2109046E+2 9.9621880E+19
d61ci4pr 293.84 1.0000000E+0 3.1068562E-12 2.8332752E+0 7.4432376E-7 1.1647674E+1 2.7506123E+4
d61ci3pr 293.86 1.0000000E+0 3.1771384E-12 2.8699748E+0 8.0085032E-7 1.1690228E+1 2.8860975E+4
d61ci2pr 293.88 1.0000000E+0 3.2000522E-12 2.8675188E+0 7.9915859E-7 1.1690416E+1 2.8758336E+4
d61ci1pr 293.89 1.0000000E+0 3.2216927E-12 2.8570412E+0 7.8725597E-7 1.1690677E+1 2.8600299E+4
d64ai4pr 294.15 1.0000000E+0 1.5073369E-25 1.8960433E+0 8.8929408E-7 8.2915378E+1 1.5902441E+5
d64ai3pr 294.14 1.0000000E+0 1.0000000E-35 1.8989013E+0 9.0113857E-7 8.3020084E+1 1.8678755E+5
d64ai2pr 294.12 1.0000000E+0 1.3963780E-25 1.8850064E+0 8.8452382E-7 8.4421828E+1 2.2382259E+5
d64ai1pr 294.07 1.0000000E+0 1.2630393E-25 1.8917311E+0 8.8303891E-7 8.3096876E+1 1.4633629E+5
d64bi4pr 293.97 1.1215737E+0 1.4312468E-11 3.0409201E+0 1.2472910E-6 8.9750937E+0 5.6254091E+4
d64bi3pr 293.98 1.1254751E+0 1.5531835E-11 3.0645989E+0 1.3042120E-6 8.9714929E+0 6.2379567E+4
d64bi2pr 294.01 1.1267335E+0 1.5981330E-11 3.0637006E+0 1.3066407E-6 8.9438466E+0 6.1536171E+4
d64bi1pr 294.03 1.1192351E+0 1.4403425E-11 3.0553356E+0 1.2957528E-6 9.0214767E+0 5.9945405E+4
d84ai4pr 295.95 8.8645010E-1 1.2764827E-13 3.2810070E+0 2.1627216E-6 1.7368421E+1 4.4086389E+4
d84ai3pr 295.95 8.8385974E-1 1.1961663E-13 3.2923094E+0 2.2287601E-6 1.7380688E+1 4.2503805E+4
d84ai2pr 295.99 8.9137970E-1 1.4722398E-13 3.3139783E+0 2.3256183E-6 1.7358091E+1 4.1985472E+4
d84ai4pr 295.95 8.8645010E-1 1.2764827E-13 3.2810070E+0 2.1627216E-6 1.7368421E+1 4.4086389E+4
d84bi4pr 295.91 1.0000000E+0 5.4024576E-13 2.6059318E+0 7.7803624E-7 1.2556006E+1 7.3575216E+19
d84bi3pr 295.94 1.0000000E+0 5.4917982E-13 2.6117333E+0 7.9284581E-7 1.2573294E+1 1.0000000E+20
d84bi2pr 295.98 1.0000000E+0 4.7894105E-13 2.6108744E+0 7.9915577E-7 1.2214158E+1 1.0000000E+20
d84bi1pr 296 1.0000000E+0 4.3907188E-13 2.6232780E+0 8.3718288E-7 1.1895242E+1 9.5973637E+19
d33aD33a3pr 295.84 1.0000000E+0 4.1460226E-13 3.5944985E+0 8.5732770E-6 1.3785274E+1 8.3782333E+19
d33aD33a2pr 295.9 1.0000000E+0 4.5560255E-13 3.5872725E+0 8.5703825E-6 1.4134309E+1 9.2858411E+19
d33aD33a1pr 295.96 1.0000000E+0 4.5908705E-13 3.5836587E+0 8.5656151E-6 1.4099055E+1 9.0840334E+19
d33bD33b3pr 295.9 1.0000000E+0 1.8215754E-26 2.0808614E+0 2.1977825E-6 1.0436785E+1 7.1183903E+3
d33bD33b2pr 295.9 1.0000000E+0 1.7897392E-26 2.0808861E+0 2.2163203E-6 1.0434722E+1 7.1296987E+3
d33bD33b1pr 295.86 1.0000000E+0 1.5897566E-26 2.0722484E+0 2.1629535E-6 1.0488056E+1 7.0915924E+3
d35D353pr 295.86 1.0000000E+0 6.5554094E-31 3.7189372E+0 4.2239758E-6 2.2253697E+1 4.7136492E+19
d35D352pr 295.85 1.0000000E+0 4.2063328E-31 3.7104425E+0 4.1698364E-6 2.1872412E+1 1.1548297E+6
d35D351pr 295.83 1.0000000E+0 1.0000000E-35 3.6956081E+0 4.1628944E-6 2.2859927E+1 6.3772133E+19
d43siv3pr 297 1.0000000E+0 7.8848037E-13 2.6170407E+0 3.7304873E-6 5.0590518E+0 1.2442876E+4
d43siv2pr 297 1.0000000E+0 7.9548611E-13 2.6158182E+0 3.7569487E-6 5.0746799E+0 1.2578927E+4
d43siv1pr 297.01 1.0000000E+0 7.6436698E-13 2.6151448E+0 3.7866304E-6 5.0645547E+0 1.2783569E+4
d43biv3pr 296.92 1.0000000E+0 1.4410681E-12 2.7467993E+0 4.4247689E-6 2.5616686E+1 3.6265442E+4
d43biv2pr 296.94 1.0000000E+0 1.6176463E-12 2.7399323E+0 4.4120080E-6 2.6066396E+1 3.5115648E+4
d43biv1pr 296.95 1.0000000E+0 1.6261570E-12 2.7409549E+0 4.4412788E-6 2.6111384E+1 3.4619909E+4
d51ai3pr 296.09 1.2282462E+0 9.2030206E-32 3.0779944E+0 4.2590977E-6 1.7165771E+0 6.5007062E+19
d51ai2pr 296.09 1.1275382E+0 9.0338883E-12 3.1243374E+0 4.4317239E-6 4.8106627E+0 8.0830323E+19
d51ai1pr 296.04 1.1245192E+0 8.8388667E-12 3.1283573E+0 4.4521529E-6 4.8425842E+0 4.7808889E+19
d51bi3pr 295.81 1.0000000E+0 2.4403006E-30 2.9197404E+0 2.6190548E-6 3.9990686E+0 8.1355260E+4
d51bi2pr 295.82 1.0000000E+0 1.8452338E-30 2.9365837E+0 2.6924329E-6 3.8614209E+0 9.2745264E+4
d51bi1pr 295.83 1.0000000E+0 2.0954912E-33 2.9350791E+0 2.6876653E-6 3.8632832E+0 8.9949752E+4
d51ci3pr 295.91 1.0000000E+0 5.7269232E-12 3.8963291E+0 1.9262406E-5 7.9361952E+0 1.3620622E+4
d51ci2pr 295.92 1.0000000E+0 5.7648585E-12 3.8910084E+0 1.9181637E-5 7.9226666E+0 1.4510670E+4
d51ci1pr 295.92 1.0000000E+0 5.7791154E-12 3.8719709E+0 1.8888622E-5 7.9182302E+0 1.4431737E+4
d51di3pr 296.03 1.0000000E+0 3.2883132E-9 2.8963418E+0 1.8037859E-4 1.3752581E+1 7.1940207E+17
d51di2pr 296.02 1.0000000E+0 3.0164463E-9 2.9074050E+0 1.8156295E-4 1.3616031E+1 7.4861432E+17
d51di1pr 295.99 1.0000000E+0 2.9063609E-9 2.8753216E+0 1.7864304E-4 1.3808962E+1 5.0712335E+18
d73ai4pr 292.06 1.0000000E+0 5.0509851E-13 2.8611396E+0 1.8039238E-6 8.8863825E+1 4.6421653E+4
d73ai3pr 292.06 1.0000000E+0 1.0635479E-12 2.9295201E+0 1.9908715E-6 8.2219545E+1 5.5575370E+4
d73ai2pr 292.07 1.0000000E+0 1.8042510E-13 2.9697956E+0 2.0641588E-6 7.3612812E+1 5.5462969E+4
d73ai1pr 292.05 1.0000000E+0 9.7046281E-13 2.9431623E+0 2.0236082E-6 8.0565139E+1 5.6525955E+4
d73bi4pr 291.75 9.7268261E-1 4.4667548E-13 2.4930748E+0 3.4953878E-7 1.6592276E+1 1.1942905E+5
d73bi3pr 291.76 9.7126545E-1 4.3498766E-13 2.4973279E+0 3.6096142E-7 1.6502261E+1 1.2166154E+5
d73bi2pr 291.76 9.6521181E-1 4.0104960E-13 2.5146920E+0 3.8430995E-7 1.6499361E+1 1.3519322E+5
d73bi1pr 291.76 9.5094142E-1 2.7624246E-13 2.4787188E+0 3.5765953E-7 1.6369320E+1 1.1130276E+5
d73ci3pr 291.8 1.0000000E+0 6.9950397E-25 1.4301405E+0 3.4351767E-7 9.0877521E+1 4.5775894E+5
d73ci2pr 291.8 1.0000000E+0 2.2987734E-24 1.4301883E+0 3.4345917E-7 9.0837374E+1 4.1242314E+5
d82ai4pr 296.1 8.7530739E-1 1.0448725E-13 3.1308840E+0 2.1839778E-6 1.4006917E+1 5.9641438E+4
d82ai3pr 296.09 8.7832176E-1 1.1299815E-13 3.1338025E+0 2.1969175E-6 1.3962775E+1 6.0656893E+4
d82ai2pr 296.06 8.7917456E-1 1.1478885E-13 3.1360050E+0 2.2029859E-6 1.3973250E+1 6.0435909E+4
d82ai1pr 296 8.9733137E-1 1.8305004E-13 3.1458398E+0 2.2264982E-6 1.3892460E+1 6.1594337E+4
d82bi4pr 296.02 1.0000000E+0 1.5082950E-12 3.8377267E+0 1.0077784E-5 5.8818512E+0 8.4093849E+4
d82bi3pr 296.02 1.0000000E+0 1.5153562E-12 3.8360906E+0 1.0075765E-5 5.8632220E+0 7.6528875E+4
d82bi2pr 296.02 1.0000000E+0 1.5143958E-12 3.8288158E+0 1.0012209E-5 5.8447231E+0 7.3839540E+4
d82bi1pr 295.99 1.0000000E+0 1.5695009E-12 3.8338057E+0 1.0119288E-5 5.9207027E+0 7.0224121E+4
d53ai3pr 296.33 6.1376113E-1 2.9004951E-15 2.4605991E+0 6.9655392E-7 1.2679624E+2 4.3810021E+4
d53ai2pr 296.23 7.2154256E-1 1.0470061E-13 2.5264540E+0 7.7908867E-7 1.2264321E+2 4.8077049E+4
d53ai1pr 296.08 8.4433799E-1 1.9134982E-12 2.6074858E+0 8.8134920E-7 1.1656325E+2 5.6382108E+4
d53bi3pr 295.97 1.0000000E+0 1.1562281E-34 2.4393782E+0 1.7968624E-6 1.1140432E+2 3.4096544E+4
