name T n1 Rs I01 Rsh n2 I02
D31D311PR 296.07 1.000000000E+00 3.514656497E+00 4.333743599E-16 3.647982052E+04 3.384071225E+00 3.473049001E-06
D31D311PR 296.07 1.000000000E+00 3.514656456E+00 4.333743209E-16 3.647982077E+04 3.384071228E+00 3.473049013E-06
D31D312PR 295.93 1.000000000E+00 3.375618416E+00 2.730298863E-16 3.798197399E+04 3.397080562E+00 3.518641299E-06
D31D312PR 295.93 1.000000000E+00 3.375618416E+00 2.730298867E-16 3.798197406E+04 3.397080562E+00 3.518641297E-06
D31D313PR 295.92 1.000000000E+00 3.541356828E+00 4.042077787E-16 3.572256879E+04 3.385882582E+00 3.444576567E-06
D31D313PR 295.92 1.000000000E+00 3.541356912E+00 4.042078946E-16 3.572256847E+04 3.385882579E+00 3.444576550E-06
D41IV1PR 296.92 4.652201687E-01 8.608108351E+01 3.107849969E-19 3.659376166E+04 2.989412018E+00 2.162489003E-06
D41IV1PR 296.92 4.652201696E-01 8.608108348E+01 3.107850147E-19 3.659376177E+04 2.989412021E+00 2.162489013E-06
D41IV2PR 296.92 4.511593487E-01 8.543722015E+01 9.708865136E-20 3.314000958E+04 2.947744396E+00 2.031365041E-06
D41IV2PR 296.92 4.511593530E-01 8.543722009E+01 9.708868487E-20 3.314000993E+04 2.947744404E+00 2.031365061E-06
D41IV3PR 296.91 4.632611764E-01 8.470374473E+01 2.337406543E-19 3.365279876E+04 2.960443721E+00 2.066390948E-06
D41IV3PR 296.91 4.632611765E-01 8.470374470E+01 2.337406541E-19 3.365279875E+04 2.960443720E+00 2.066390947E-06
D63AI1PR 294.06 1.131993052E+00 7.275114323E+00 2.175237674E-11 3.960011508E+05 2.561989149E+00 4.097185248E-07
D63AI1PR 294.06 1.131993053E+00 7.275114326E+00 2.175237686E-11 3.960011540E+05 2.561989151E+00 4.097185259E-07
D63AI2PR 294.13 1.086603303E+00 7.319989364E+00 9.349624906E-12 2.270008586E+05 2.480415196E+00 3.467833131E-07
D63AI2PR 294.13 1.086603307E+00 7.319989359E+00 9.349625582E-12 2.270008580E+05 2.480415196E+00 3.467833128E-07
D63AI3PR 294.17 1.130679250E+00 7.273701791E+00 2.109111011E-11 3.884099623E+05 2.561874138E+00 4.111521505E-07
D63AI3PR 294.17 1.130679249E+00 7.273701795E+00 2.109110976E-11 3.884099609E+05 2.561874137E+00 4.111521494E-07
D63AI4PR 294.19 1.038343183E+00 7.425732458E+00 3.629754480E-12 1.634051402E+05 2.419563040E+00 3.012143417E-07
D63AI4PR 294.19 1.038343183E+00 7.425732461E+00 3.629754482E-12 1.634051407E+05 2.419563042E+00 3.012143425E-07
D63BI1PR 294.02 8.201735472E-01 1.336056087E+01 1.753268838E-14 1.827537991E+06 2.749729774E+00 5.875907922E-07
D63BI1PR 294.02 8.201735469E-01 1.336056087E+01 1.753268821E-14 1.827538089E+06 2.749729775E+00 5.875907935E-07
D63BI2PR 294 8.217439029E-01 1.337042281E+01 1.832544988E-14 2.089950880E+06 2.749797264E+00 5.834295347E-07
