T nFsrh nFBsrh dnsrh nF nFB dn
290 1.181103904E+00 1.000025117E+0 1.810787870E-01 1.181103904E+00 1.000025117E+0 1.810787870E-01
295 1.178762061E+00 1.000024295E+0 1.787377660E-01 1.178762061E+00 1.000024295E+0 1.787377660E-01
300 1.186368488E+00 1.000023534E+0 1.863449540E-01 1.186368488E+00 1.000023534E+0 1.863449540E-01
305 1.193750047E+00 1.000022826E+0 1.937272210E-01 1.193750047E+00 1.000022826E+0 1.937272210E-01
310 1.191423470E+00 1.000022167E+0 1.914013030E-01 1.191423470E+00 1.000022167E+0 1.914013030E-01
315 1.198143438E+00 1.000021552E+0 1.981218860E-01 1.198143438E+00 1.000021552E+0 1.981218860E-01
320 1.199134650E+00 1.000020979E+0 1.991136710E-01 1.199134650E+00 1.000020979E+0 1.991136710E-01
325 1.202898694E+00 1.000020442E+0 2.028782520E-01 1.202898694E+00 1.000020442E+0 2.028782520E-01
330 1.205145638E+00 1.000019940E+0 2.051256980E-01 1.205145638E+00 1.000019940E+0 2.051256980E-01
335 1.207872394E+00 1.000019468E+0 2.078529260E-01 1.207872394E+00 1.000019468E+0 2.078529260E-01
340 1.193477472E+00 1.000019026E+0 1.934584460E-01 1.193477472E+00 1.000019026E+0 1.934584460E-01
