T d154 d184 d214 d244
d 150 180 210 240
290 1.215776594E+00 1.212990858E+00 1.210533003E+00 1.208623284E+00
295 1.219158592E+00 1.216229875E+00 1.213780343E+00 1.211750996E+00
300 1.222146601E+00 1.218946163E+00 1.216353623E+00 1.214060005E+00
305 1.225715805E+00 1.222020352E+00 1.219248648E+00 1.216587042E+00
310 1.229061701E+00 1.224847782E+00 1.221625214E+00 1.218634331E+00
315 1.231239967E+00 1.226477316E+00 1.222619011E+00 1.219134809E+00
320 1.233598522E+00 1.228452553E+00 1.223672235E+00 1.219698572E+00
325 1.235359262E+00 1.229485052E+00 1.223960859E+00 1.219271036E+00
330 1.235378782E+00 1.228582430E+00 1.222268807E+00 1.216678222E+00
335 1.235578699E+00 1.227857702E+00 1.220720765E+00 1.214319191E+00
340 1.234904991E+00 1.226214396E+00 1.218212915E+00 1.211024394E+00
