name time T kT_1 I
01RV 01rv.dat 340 34.1 2.363E-006
02RV 02rv.dat 340 34.1 2.520E-006
03RV 03rv.dat 340 34.1 2.354E-006
04RV 04rv.dat 340 34.1 2.286E-006
05RV 05rv.dat 340 34.1 2.322E-006
06RV 06rv.dat 340 34.1 2.405E-006
07RV 07rv.dat 340 34.1 2.488E-006
08RV 08rv.dat 340 34.1 2.288E-006
09RV 09rv.dat 340 34.1 2.227E-006
10RV 10rv.dat 340 34.1 2.256E-006
11RV 11rv.dat 340 34.1 2.603E-006
12RV 12rv.dat 340 34.1 2.496E-006
13RV 13rv.dat 340 34.1 2.497E-006
14RV 14rv.dat 340 34.1 2.449E-006
15RV 15rv.dat 340 34.1 2.804E-006
16RV 16rv.dat 340 34.1 2.697E-006
17RV 17rv.dat 340 34.1 2.469E-006
18RV 18rv.dat 340 34.1 2.339E-006
19RV 19rv.dat 340 34.1 2.397E-006
20RV 20rv.dat 340 34.1 2.364E-006
21RV 21rv.dat 340 34.1 2.557E-006
22RV 22rv.dat 340 34.1 2.428E-006
23RV 23rv.dat 340 34.1 2.658E-006
24RV 24rv.dat 340 34.1 2.528E-006
25RV 25rv.dat 340 34.1 2.233E-006
26RV 26rv.dat 340 34.1 2.394E-006
27RV 27rv.dat 340 34.1 2.276E-006
28RV 28rv.dat 340 34.1 2.149E-006
29RV 29rv.dat 340 34.1 2.076E-006
30RV 30rv.dat 340 34.1 2.192E-006
31RV 31rv.dat 340 34.1 2.254E-006
32RV 32rv.dat 340 34.1 2.091E-006
33RV 33rv.dat 340 34.1 2.260E-006
34RV 34rv.dat 340 34.1 2.401E-006
35RV 35rv.dat 340 34.1 2.478E-006
36RV 36rv.dat 340 34.1 2.707E-006
37RV 37rv.dat 340 34.1 2.495E-006
38RV 38rv.dat 340 34.1 2.537E-006
39RV 39rv.dat 340 34.1 2.377E-006
40RV 40rv.dat 340 34.1 2.099E-006
41RV 41rv.dat 340 34.1 2.138E-006
42RV 42rv.dat 340 34.1 2.121E-006
43RV 43rv.dat 340 34.1 2.084E-006
44RV 44rv.dat 339.8 34.12 2.440E-006
45RV 45rv.dat 340 34.1 2.090E-006
46RV 46rv.dat 340.2 34.08 2.191E-006
47RV 47rv.dat 340 34.1 2.033E-006
48RV 48rv.dat 340 34.1 2.338E-006
49RV 49rv.dat 340 34.1 2.125E-006
50RV 50rv.dat 340.1 34.09 2.279E-006
