name time T kT_1 I
01RV 01rv.dat 340 34.1 8.374E-006
02RV 02rv.dat 340 34.1 8.488E-006
03RV 03rv.dat 340 34.1 8.258E-006
04RV 04rv.dat 340 34.1 8.185E-006
05RV 05rv.dat 340 34.1 8.321E-006
06RV 06rv.dat 340 34.1 8.429E-006
07RV 07rv.dat 340 34.1 8.250E-006
08RV 08rv.dat 340 34.1 8.318E-006
09RV 09rv.dat 340 34.1 8.231E-006
10RV 10rv.dat 340 34.1 8.414E-006
11RV 11rv.dat 340 34.1 8.640E-006
12RV 12rv.dat 340 34.1 8.830E-006
13RV 13rv.dat 340 34.1 8.611E-006
14RV 14rv.dat 340 34.1 8.845E-006
15RV 15rv.dat 340 34.1 9.328E-006
16RV 16rv.dat 340 34.1 9.190E-006
17RV 17rv.dat 340 34.1 8.939E-006
18RV 18rv.dat 340 34.1 8.821E-006
19RV 19rv.dat 340 34.1 8.468E-006
20RV 20rv.dat 340 34.1 8.431E-006
21RV 21rv.dat 340 34.1 8.549E-006
22RV 22rv.dat 340 34.1 8.814E-006
23RV 23rv.dat 340 34.1 9.481E-006
24RV 24rv.dat 340 34.1 8.625E-006
25RV 25rv.dat 340 34.1 8.375E-006
26RV 26rv.dat 340 34.1 8.394E-006
27RV 27rv.dat 340 34.1 8.418E-006
28RV 28rv.dat 340 34.1 8.287E-006
29RV 29rv.dat 340 34.1 8.039E-006
30RV 30rv.dat 340 34.1 8.116E-006
31RV 31rv.dat 340 34.1 8.227E-006
32RV 32rv.dat 340 34.1 8.369E-006
33RV 33rv.dat 340 34.1 8.548E-006
34RV 34rv.dat 340 34.1 9.148E-006
35RV 35rv.dat 340 34.1 9.098E-006
36RV 36rv.dat 340 34.1 9.724E-006
37RV 37rv.dat 340 34.1 9.050E-006
38RV 38rv.dat 340 34.1 8.794E-006
39RV 39rv.dat 340 34.1 8.438E-006
40RV 40rv.dat 340 34.1 8.050E-006
41RV 41rv.dat 340 34.1 8.060E-006
42RV 42rv.dat 340 34.1 8.029E-006
43RV 43rv.dat 340 34.1 8.189E-006
44RV 44rv.dat 339.8 34.12 8.392E-006
45RV 45rv.dat 340 34.1 8.057E-006
46RV 46rv.dat 340.2 34.08 8.076E-006
47RV 47rv.dat 340 34.1 7.920E-006
48RV 48rv.dat 340 34.1 8.028E-006
49RV 49rv.dat 340 34.1 8.152E-006
50RV 50rv.dat 340.1 34.09 8.273E-006
