T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.280152852E+00 1.222993341E+00 5.715951100E-02 1.277537678E+00 1.222378905E+00 5.515877300E-02 2.615174000E-03 6.144360000E-04
295 1.280316199E+00 1.225398364E+00 5.491783500E-02 1.277999776E+00 1.224807073E+00 5.319270300E-02 2.316423000E-03 5.912910000E-04
300 1.281517658E+00 1.227884172E+00 5.363348600E-02 1.279463922E+00 1.227310115E+00 5.215380700E-02 2.053736000E-03 5.740570000E-04
305 1.283530172E+00 1.230906906E+00 5.262326600E-02 1.281689146E+00 1.230308733E+00 5.138041300E-02 1.841026000E-03 5.981730000E-04
310 1.286237642E+00 1.233994393E+00 5.224324900E-02 1.284547287E+00 1.233344743E+00 5.120254400E-02 1.690355000E-03 6.496500000E-04
315 1.289301783E+00 1.236469139E+00 5.283264400E-02 1.287693494E+00 1.235750180E+00 5.194331400E-02 1.608289000E-03 7.189590000E-04
320 1.292710453E+00 1.239232132E+00 5.347832100E-02 1.291112150E+00 1.238398454E+00 5.271369600E-02 1.598303000E-03 8.336780000E-04
325 1.295536972E+00 1.241187061E+00 5.434991100E-02 1.293878140E+00 1.240205414E+00 5.367272600E-02 1.658832000E-03 9.816470000E-04
330 1.297621424E+00 1.241769969E+00 5.585145500E-02 1.295835222E+00 1.240619843E+00 5.521537900E-02 1.786202000E-03 1.150126000E-03
335 1.298419040E+00 1.242150281E+00 5.626875900E-02 1.296449088E+00 1.240785267E+00 5.566382100E-02 1.969952000E-03 1.365014000E-03
340 1.297111806E+00 1.241597356E+00 5.551445000E-02 1.294922033E+00 1.239988682E+00 5.493335100E-02 2.189773000E-03 1.608674000E-03
