N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 3.162E+15 315 1.800E-4 1.180660932E+00 1.184056382E+00
1.468000E+10 3.162E+15 315 1.800E-4 1.182055985E+00 1.184385254E+00
2.154000E+10 3.162E+15 315 1.800E-4 1.183267503E+00 1.184862311E+00
3.162000E+10 3.162E+15 315 1.800E-4 1.184459937E+00 1.185550590E+00
4.642000E+10 3.162E+15 315 1.800E-4 1.185790331E+00 1.186535823E+00
6.813000E+10 3.162E+15 315 1.800E-4 1.187420573E+00 1.187930230E+00
1.000000E+11 3.162E+15 315 1.800E-4 1.189523179E+00 1.189872004E+00
1.468000E+11 3.162E+15 315 1.800E-4 1.192275429E+00 1.192514791E+00
2.154000E+11 3.162E+15 315 1.800E-4 1.195834207E+00 1.195999285E+00
3.162000E+11 3.162E+15 315 1.800E-4 1.200286126E+00 1.200400949E+00
4.642000E+11 3.162E+15 315 1.800E-4 1.205580048E+00 1.205661009E+00
6.813000E+11 3.162E+15 315 1.800E-4 1.211477043E+00 1.211535230E+00
1.000000E+12 3.162E+15 315 1.800E-4 1.217576222E+00 1.217619036E+00
1.468000E+12 3.162E+15 315 1.800E-4 1.223447533E+00 1.223479807E+00
2.154000E+12 3.162E+15 315 1.800E-4 1.228806381E+00 1.228831293E+00
3.162000E+12 3.162E+15 315 1.800E-4 1.233597955E+00 1.233617600E+00
4.642000E+12 3.162E+15 315 1.800E-4 1.237936336E+00 1.237952169E+00
6.813000E+12 3.162E+15 315 1.800E-4 1.241982828E+00 1.241995870E+00
1.000000E+13 3.162E+15 315 1.800E-4 1.245868059E+00 1.245879018E+00
