fname time Tem kT_1 A Rs Io Rsh dev 
0001 11:02:42 300 38.64 2.204E+001 4.432E+003 5.041E-010 1.000E+015 1.055E-002 
0002 11:08:30 300 38.64 2.014E+001 3.238E+003 9.644E-010 1.000E+015 7.035E-003 
0003 11:13:02 300 38.64 2.027E+001 3.390E+003 9.459E-010 1.000E+015 4.031E-003 
0004 11:18:50 300 38.64 2.078E+001 3.647E+003 8.309E-010 1.000E+015 3.009E-003 
0005 11:23:00 300 38.65 2.020E+001 3.381E+003 9.756E-010 1.000E+015 3.730E-003 
0006 11:27:30 300 38.65 2.065E+001 3.563E+003 8.643E-010 1.000E+015 4.140E-003 
0007 11:34:38 300 38.64 2.065E+001 3.598E+003 8.543E-010 1.000E+015 3.632E-003 
0008 11:45:08 300 38.64 2.066E+001 3.619E+003 8.811E-010 1.000E+015 4.075E-003 
0009 11:48:54 300 38.65 2.062E+001 3.640E+003 8.618E-010 1.000E+015 6.841E-003 
0010 11:56:00 300 38.64 2.086E+001 3.473E+003 8.071E-010 1.000E+015 2.678E-003 
0011 12:00:50 300 38.64 2.114E+001 3.669E+003 7.325E-010 1.000E+015 4.916E-003 
0012 12:03:50 300 38.65 2.050E+001 3.531E+003 9.008E-010 1.000E+015 3.461E-003 
0013 12:09:34 300 38.64 2.072E+001 3.372E+003 8.753E-010 1.000E+015 5.779E-003 
0014 12:15:26 300 38.65 2.051E+001 3.504E+003 9.484E-010 1.000E+015 3.732E-003 
0015 12:20:02 300 38.65 2.026E+001 3.308E+003 1.003E-009 1.000E+015 3.894E-003 
0016 12:25:20 300 38.65 2.019E+001 3.085E+003 1.025E-009 1.000E+015 4.909E-003 
0017 12:31:18 300 38.65 2.102E+001 3.632E+003 8.105E-010 1.000E+015 5.755E-003 
0018 12:40:26 300 38.65 2.057E+001 3.138E+003 9.562E-010 1.000E+015 4.535E-003 
0019 12:56:48 300 38.65 2.057E+001 3.177E+003 9.807E-010 1.000E+015 5.586E-003 
0020 13:05:12 300 38.65 2.042E+001 3.152E+003 1.024E-009 1.000E+015 6.004E-003 
0021 13:13:00 300 38.64 2.082E+001 3.071E+003 8.581E-010 1.000E+015 5.277E-003 
0022 13:22:34 300 38.65 2.172E+001 3.099E+003 5.934E-010 1.000E+015 8.150E-003 
0023 13:30:40 300 38.65 2.018E+001 2.916E+003 1.086E-009 1.000E+015 4.339E-003 
0024 13:37:44 300 38.65 2.043E+001 3.055E+003 9.761E-010 1.000E+015 5.062E-003 
0025 13:45:50 300 38.65 2.048E+001 2.945E+003 1.065E-009 1.000E+015 5.218E-003 
0026 13:56:12 300 38.65 2.092E+001 3.034E+003 9.093E-010 1.000E+015 3.757E-003 
0027 14:03:02 300 38.65 2.047E+001 2.867E+003 1.102E-009 1.000E+015 4.191E-003 
