name time T kT_1 I
00 14:27:46 285.9 40.55 1.697E-007
00 14:41:52 288 40.26 1.673E-007
00 14:49:16 289.9 39.99 1.756E-007
00 14:57:44 294.1 39.42 1.946E-007
001 15:05:22 299.1 38.76 2.234E-007
001 15:13:48 304.4 38.09 2.562E-007
001 15:20:58 309.3 37.49 3.101E-007
001 15:28:14 314.3 36.89 3.591E-007
001 15:36:14 319.4 36.3 4.226E-007
002 15:44:04 323.7 35.82 4.939E-007
002 15:52:18 330.5 35.08 6.257E-007
002 16:01:08 335.3 34.58 7.295E-007
002 16:08:16 341.3 33.97 8.853E-007
002 16:15:46 345.3 33.58 9.915E-007
003 16:23:38 348.8 33.24 1.064E-006
