name time T kT_1 I
00 14:27:46 285.9 40.55 4.287E-007
00 14:41:52 288 40.26 4.202E-007
00 14:49:16 289.9 39.99 4.465E-007
00 14:57:44 294.1 39.42 5.149E-007
001 15:05:22 299.1 38.76 6.145E-007
001 15:13:48 304.4 38.09 7.306E-007
001 15:20:58 309.3 37.49 9.233E-007
001 15:28:14 314.3 36.89 1.081E-006
001 15:36:14 319.4 36.3 1.322E-006
002 15:44:04 323.7 35.82 1.563E-006
002 15:52:18 330.5 35.08 2.023E-006
002 16:01:08 335.3 34.58 2.375E-006
002 16:08:16 341.3 33.97 2.976E-006
002 16:15:46 345.3 33.58 3.380E-006
003 16:23:38 348.8 33.24 3.675E-006
