T Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
290 2.554376000E-02 2.564468100E-02 2.572670400E-02 2.579038400E-02 2.583301200E-02 2.586608900E-02 2.588744200E-02 2.589910200E-02 2.590076300E-02 2.589452600E-02 2.587837700E-02 2.585217300E-02 2.579915500E-02 2.575644000E-02 2.570939100E-02 2.565806400E-02 2.559818100E-02 2.551211800E-02 2.541552000E-02
295 2.548883500E-02 2.554287600E-02 2.558107000E-02 2.562534600E-02 2.565445100E-02 2.568296500E-02 2.571190500E-02 2.574509200E-02 2.578523400E-02 2.583208700E-02 2.588139500E-02 2.593070000E-02 2.595388100E-02 2.598712700E-02 2.598542000E-02 2.597595600E-02 2.593954400E-02 2.588089800E-02 2.577651700E-02
300 2.467410400E-02 2.466870400E-02 2.467877200E-02 2.467402900E-02 2.468785000E-02 2.471477300E-02 2.477405900E-02 2.487081700E-02 2.500610800E-02 2.517553400E-02 2.536796500E-02 2.553372000E-02 2.570580500E-02 2.582831900E-02 2.588819800E-02 2.593515200E-02 2.590955100E-02 2.584503900E-02 2.574222900E-02
305 2.286702800E-02 2.278945000E-02 2.280278400E-02 2.276216400E-02 2.280020900E-02 2.286606500E-02 2.300793800E-02 2.323230500E-02 2.353949900E-02 2.391886700E-02 2.432655000E-02 2.473504200E-02 2.508712900E-02 2.535535700E-02 2.557240200E-02 2.567134900E-02 2.569875800E-02 2.566647800E-02 2.558308600E-02
310 1.874106500E-02 1.865629400E-02 1.874188500E-02 1.880773900E-02 1.891910500E-02 1.910376500E-02 1.943376300E-02 1.992582900E-02 2.055404600E-02 2.132097700E-02 2.215295000E-02 2.298704200E-02 2.375306200E-02 2.433551700E-02 2.475182800E-02 2.501671500E-02 2.515932100E-02 2.520782100E-02 2.518246800E-02
315 1.113162200E-02 1.099411500E-02 1.098547700E-02 1.112232300E-02 1.142782800E-02 1.202394200E-02 1.272081000E-02 1.370337900E-02 1.497413900E-02 1.648445400E-02 1.812586500E-02 1.976188400E-02 2.120876400E-02 2.236820800E-02 2.321502300E-02 2.379049000E-02 2.416016000E-02 2.438166200E-02 2.449351700E-02
320 -3.915233000E-03 -4.198199000E-03 -4.212340000E-03 -3.935958000E-03 -3.329555000E-03 -2.335506000E-03 -8.851540000E-04 1.081745000E-03 3.582073000E-03 6.543667000E-03 9.772139000E-03 1.296768600E-02 1.581469400E-02 1.810289900E-02 1.979151500E-02 2.097247000E-02 2.178213500E-02 2.233590500E-02 2.270825900E-02
325 -3.121058100E-02 -3.182087000E-02 -3.189536700E-02 -3.140995900E-02 -3.030072700E-02 -2.846456100E-02 -2.577312500E-02 -2.210932100E-02 -1.743314500E-02 -1.186968600E-02 -5.777594000E-03 2.768910000E-04 5.688593000E-03 1.005201100E-02 1.329237100E-02 1.559457900E-02 1.722702500E-02 1.841153800E-02 1.928723800E-02
330 -7.708211900E-02 -7.836413600E-02 -7.864951200E-02 -7.792157300E-02 -7.608513900E-02 -7.296727600E-02 -6.833989300E-02 -6.198076500E-02 -5.378823100E-02 -4.394305000E-02 -3.304974900E-02 -2.211739900E-02 -1.226676500E-02 -4.276155000E-03 1.692937000E-03 5.978240000E-03 9.079900000E-03 1.140718300E-02 1.321239100E-02
335 -1.480754450E-01 -1.505853210E-01 -1.514117580E-01 -1.505700830E-01 -1.479383760E-01 -1.432533910E-01 -1.361381540E-01 -1.261860380E-01 -1.131355650E-01 -9.714427800E-02 -7.907603300E-02 -6.056167600E-02 -4.356858900E-02 -2.958234500E-02 -1.901693100E-02 -1.134794100E-02 -5.711258000E-03 -1.395103000E-03 2.037651000E-03
340 -1.715026780E-01 -1.751212530E-01 -1.778079520E-01 -1.798953580E-01 -1.816563140E-01 -1.833190950E-01 -1.850817450E-01 -1.871180310E-01 -1.895694710E-01 -1.740782110E-01 -1.476317840E-01 -1.195171920E-01 -9.281146400E-02 -7.020487400E-02 -5.276680000E-02 -3.989306800E-02 -3.027303400E-02 -2.276126200E-02 -1.666112000E-02
