name time T kT_1 I
00 16:32:38 284.3 40.78 8.705E-005
00 16:39:40 286.8 40.43 9.471E-005
00 16:47:40 289.9 39.99 9.822E-005
00 16:53:38 295.7 39.21 9.883E-005
00 17:00:48 299.7 38.69 1.056E-004
00 17:07:42 305.2 37.99 1.025E-004
00 17:13:24 309.8 37.42 1.115E-004
00 17:20:00 313.6 36.97 1.159E-004
00 17:27:52 318.9 36.36 1.294E-004
001 17:34:24 323.4 35.85 1.382E-004
001 17:41:38 329.5 35.19 1.611E-004
001 17:47:52 334 34.71 1.763E-004
001 17:56:52 340.4 34.06 2.301E-004
001 18:03:28 344.5 33.66 2.547E-004
001 18:12:26 351.1 33.02 3.098E-004
