name time T kT_1 Voc
00 16:32:38 284.3 40.78 5.133E-001
00 16:39:40 286.8 40.43 4.650E-001
00 16:47:40 289.9 39.99 4.603E-001
00 16:53:38 295.7 39.21 4.585E-001
00 17:00:48 299.7 38.69 4.710E-001
00 17:07:42 305.2 37.99 4.724E-001
00 17:13:24 309.8 37.42 4.719E-001
00 17:20:00 313.6 36.97 4.724E-001
00 17:27:52 318.9 36.36 4.707E-001
001 17:34:24 323.4 35.85 4.670E-001
001 17:41:38 329.5 35.19 4.616E-001
001 17:47:52 334 34.71 4.568E-001
001 17:56:52 340.4 34.06 4.529E-001
001 18:03:28 344.5 33.66 4.476E-001
001 18:12:26 351.1 33.02 4.417E-001
