Ytrue por Lambda Ypred RelError
3.937950e+00 0.000000e+00 6.000000e+02 3.876678e+00 1.555938e-02
3.895970e+00 0.000000e+00 6.200000e+02 3.843379e+00 1.349892e-02
3.858990e+00 0.000000e+00 6.400000e+02 3.813568e+00 1.177046e-02
3.827210e+00 0.000000e+00 6.600000e+02 3.786764e+00 1.056810e-02
3.798220e+00 0.000000e+00 6.800000e+02 3.762566e+00 9.387123e-03
3.772230e+00 0.000000e+00 7.000000e+02 3.740639e+00 8.374499e-03
3.749240e+00 0.000000e+00 7.200000e+02 3.720704e+00 7.611249e-03
3.729450e+00 0.000000e+00 7.400000e+02 3.702520e+00 7.221016e-03
3.710450e+00 0.000000e+00 7.600000e+02 3.685884e+00 6.620706e-03
3.693460e+00 0.000000e+00 7.800000e+02 3.670623e+00 6.182994e-03
3.677470e+00 0.000000e+00 8.000000e+02 3.656587e+00 5.678598e-03
3.663470e+00 0.000000e+00 8.200000e+02 3.643646e+00 5.411327e-03
3.650670e+00 0.000000e+00 8.400000e+02 3.631687e+00 5.199996e-03
3.637670e+00 0.000000e+00 8.600000e+02 3.620611e+00 4.689536e-03
3.626680e+00 0.000000e+00 8.800000e+02 3.610333e+00 4.507427e-03
3.616680e+00 0.000000e+00 9.000000e+02 3.600777e+00 4.397216e-03
3.606690e+00 0.000000e+00 9.200000e+02 3.591875e+00 4.107612e-03
3.597690e+00 0.000000e+00 9.400000e+02 3.583569e+00 3.924993e-03
3.589690e+00 0.000000e+00 9.600000e+02 3.575806e+00 3.867747e-03
3.581690e+00 0.000000e+00 9.800000e+02 3.568539e+00 3.671747e-03
3.573700e+00 0.000000e+00 1.000000e+03 3.561726e+00 3.350563e-03
3.566700e+00 0.000000e+00 1.020000e+03 3.555330e+00 3.187834e-03
3.560890e+00 0.000000e+00 1.040000e+03 3.549317e+00 3.250071e-03
3.554890e+00 0.000000e+00 1.060000e+03 3.543657e+00 3.160013e-03
3.548890e+00 0.000000e+00 1.080000e+03 3.538322e+00 2.977955e-03
3.543390e+00 0.000000e+00 1.100000e+03 3.533287e+00 2.851131e-03
3.538690e+00 0.000000e+00 1.120000e+03 3.528531e+00 2.870720e-03
3.534100e+00 0.000000e+00 1.140000e+03 3.524033e+00 2.848397e-03
3.529920e+00 0.000000e+00 1.160000e+03 3.519775e+00 2.873990e-03
3.525840e+00 0.000000e+00 1.180000e+03 3.515739e+00 2.864774e-03
3.522050e+00 0.000000e+00 1.200000e+03 3.511911e+00 2.878791e-03
3.518460e+00 0.000000e+00 1.220000e+03 3.508275e+00 2.894605e-03
3.515080e+00 0.000000e+00 1.240000e+03 3.504820e+00 2.918720e-03
3.511780e+00 0.000000e+00 1.260000e+03 3.501534e+00 2.917613e-03
3.508680e+00 0.000000e+00 1.280000e+03 3.498405e+00 2.928411e-03
3.505700e+00 0.000000e+00 1.300000e+03 3.495424e+00 2.931239e-03
3.502900e+00 0.000000e+00 1.320000e+03 3.492581e+00 2.945786e-03
3.500200e+00 0.000000e+00 1.340000e+03 3.489868e+00 2.951717e-03
