Ytrue por Lambda Ypred RelError
2.725730e+00 2.800000e+01 4.355000e+03 2.738269e+00 4.600349e-03
1.834020e+00 6.000000e+01 5.181000e+03 1.825024e+00 4.905294e-03
2.719250e+00 2.900000e+01 5.088000e+03 2.709494e+00 3.587856e-03
1.711010e+00 6.600000e+01 9.080000e+02 1.702295e+00 5.093337e-03
1.485990e+00 7.300000e+01 4.163000e+03 1.477930e+00 5.424095e-03
3.107750e+00 1.300000e+01 4.668000e+03 3.121046e+00 4.278345e-03
1.542650e+00 7.000000e+01 3.227000e+03 1.553195e+00 6.835618e-03
1.986620e+00 5.400000e+01 5.907000e+03 1.996074e+00 4.758762e-03
3.087410e+00 1.600000e+01 1.582000e+03 3.096624e+00 2.984250e-03
2.028570e+00 5.300000e+01 4.760000e+03 2.025702e+00 1.414001e-03
2.954870e+00 2.000000e+01 3.896000e+03 2.950601e+00 1.444619e-03
3.130860e+00 1.200000e+01 4.213000e+03 3.146279e+00 4.924819e-03
2.943780e+00 2.100000e+01 1.776000e+03 2.957440e+00 4.640274e-03
3.318200e+00 5.000000e+00 2.418000e+03 3.322745e+00 1.369629e-03
1.380330e+00 7.700000e+01 2.366000e+03 1.381250e+00 6.667697e-04
1.647600e+00 6.600000e+01 4.990000e+03 1.659134e+00 7.000335e-03
2.259300e+00 4.500000e+01 5.675000e+03 2.256762e+00 1.123279e-03
2.168230e+00 4.800000e+01 2.860000e+03 2.176402e+00 3.768919e-03
1.337020e+00 8.000000e+01 1.081000e+03 1.311056e+00 1.941950e-02
2.986890e+00 1.900000e+01 3.017000e+03 2.981788e+00 1.708069e-03
3.581070e+00 3.000000e+00 8.150000e+02 3.579334e+00 4.847100e-04
2.692860e+00 3.300000e+01 1.019000e+03 2.704053e+00 4.156592e-03
2.198160e+00 4.700000e+01 5.388000e+03 2.199082e+00 4.196294e-04
1.503130e+00 7.200000e+01 1.495000e+03 1.504945e+00 1.207527e-03
2.914020e+00 2.200000e+01 2.452000e+03 2.911847e+00 7.457634e-04
2.140260e+00 4.900000e+01 5.211000e+03 2.141228e+00 4.522102e-04
3.031910e+00 1.600000e+01 4.752000e+03 3.048065e+00 5.328389e-03
1.356190e+00 7.800000e+01 1.454000e+03 1.356208e+00 1.312238e-05
2.143950e+00 4.900000e+01 4.577000e+03 2.141939e+00 9.379906e-04
1.419090e+00 7.500000e+01 5.772000e+03 1.430940e+00 8.350109e-03
2.493270e+00 3.700000e+01 4.259000e+03 2.488508e+00 1.909773e-03
2.788830e+00 3.100000e+01 9.380000e+02 2.783995e+00 1.733611e-03
2.453940e+00 3.900000e+01 2.815000e+03 2.438310e+00 6.369510e-03
1.391500e+00 7.700000e+01 2.090000e+03 1.380530e+00 7.883884e-03
3.099300e+00 1.400000e+01 3.808000e+03 3.100199e+00 2.900552e-04
2.311810e+00 4.300000e+01 3.981000e+03 2.317189e+00 2.326923e-03
2.064360e+00 5.200000e+01 2.803000e+03 2.059727e+00 2.244283e-03
1.691600e+00 6.500000e+01 1.627000e+03 1.695361e+00 2.223547e-03
2.532980e+00 3.500000e+01 5.989000e+03 2.542268e+00 3.666657e-03
1.993400e+00 5.500000e+01 1.568000e+03 1.989417e+00 1.997993e-03
2.135290e+00 4.900000e+01 3.268000e+03 2.145093e+00 4.591151e-03
2.269270e+00 4.600000e+01 1.726000e+03 2.252663e+00 7.318314e-03
1.679560e+00 6.500000e+01 4.050000e+03 1.686411e+00 4.079085e-03
1.914860e+00 5.700000e+01 5.589000e+03 1.910086e+00 2.493253e-03
3.330090e+00 5.000000e+00 2.384000e+03 3.323480e+00 1.985078e-03
3.271570e+00 7.000000e+00 2.800000e+03 3.271851e+00 8.578851e-05
