N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.016873905E+00 1.015041078E+00 1.013677407E+00 1.012583861E+00
1.600000000E+01 1.256191346E+00 1.253189707E+00 1.250513692E+00 1.248133267E+00
1.700000000E+01 1.308370662E+00 1.306380544E+00 1.303372449E+00 1.302672776E+00
1.549996187E+01 1.216074585E+00 1.209960010E+00 1.206394085E+00 1.202720324E+00
1.649996187E+01 1.281232285E+00 1.279261797E+00 1.277485721E+00 1.275990303E+00
1.674996808E+01 1.295404194E+00 1.291909602E+00 1.290513428E+00 1.289506398E+00
1.624993176E+01 1.268977043E+00 1.266422638E+00 1.264577592E+00 1.262829443E+00
1.574996808E+01 1.240685887E+00 1.236763876E+00 1.233692684E+00 1.231706170E+00
1.524993176E+01 1.158931117E+00 1.148358428E+00 1.139811814E+00 1.132566517E+00
