N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -1.468989840E-01 -1.397820480E-01 -1.326879010E-01 -1.255282160E-01
1.600000000E+01 2.859003400E-02 2.829189400E-02 2.770393200E-02 2.728497100E-02
1.700000000E+01 6.234927800E-02 6.314826900E-02 6.286122100E-02 6.371433200E-02
1.549996187E+01 -1.667190200E-02 -2.376363400E-02 -2.881921100E-02 -3.354959900E-02
1.649996187E+01 5.125662900E-02 5.354202800E-02 5.480254100E-02 5.590198800E-02
1.674996808E+01 6.063735600E-02 6.098765100E-02 6.291944300E-02 6.384179300E-02
1.624993176E+01 3.970548800E-02 4.071442300E-02 4.147418000E-02 4.166473700E-02
1.574996808E+01 1.541435000E-02 1.315890000E-02 1.112232300E-02 1.048037500E-02
1.524993176E+01 -1.106482370E-01 -1.264455130E-01 -1.410399010E-01 -1.538284280E-01
