N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.183188365E+00 1.183672690E+00 1.184021180E+00 1.183096529E+00
1.600000000E+01 1.259336759E+00 1.258107860E+00 1.257318063E+00 1.255663514E+00
1.700000000E+01 1.331966561E+00 1.330231202E+00 1.328517327E+00 1.328720069E+00
1.549996187E+01 1.232876863E+00 1.230692085E+00 1.230576744E+00 1.229897116E+00
1.649996187E+01 1.290239904E+00 1.288492865E+00 1.288030640E+00 1.287532652E+00
1.674996808E+01 1.309784491E+00 1.306856915E+00 1.306800679E+00 1.306614883E+00
1.624993176E+01 1.273397318E+00 1.272341557E+00 1.271552646E+00 1.271114593E+00
1.574996808E+01 1.246211806E+00 1.244939306E+00 1.243248656E+00 1.242908059E+00
1.524993176E+01 1.215707697E+00 1.214537109E+00 1.214161303E+00 1.213718894E+00
