N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe
1.000000E+10 3.162E+16 330 3.800E-4 3.738918E+1 1.630920E+1 5.450020E-1 8.003660E+1
1.468000E+10 3.162E+16 330 3.800E-4 3.734329E+1 1.628290E+1 5.448430E-1 8.002910E+1
2.154000E+10 3.162E+16 330 3.800E-4 3.727746E+1 1.624530E+1 5.446140E-1 8.001860E+1
3.162000E+10 3.162E+16 330 3.800E-4 3.718396E+1 1.619180E+1 5.442870E-1 8.000410E+1
4.642000E+10 3.162E+16 330 3.800E-4 3.705303E+1 1.611710E+1 5.438230E-1 7.998430E+1
6.813000E+10 3.162E+16 330 3.800E-4 3.687326E+1 1.601470E+1 5.431790E-1 7.995840E+1
1.000000E+11 3.162E+16 330 3.800E-4 3.663281E+1 1.587810E+1 5.423030E-1 7.992550E+1
1.468000E+11 3.162E+16 330 3.800E-4 3.632187E+1 1.570190E+1 5.411480E-1 7.988540E+1
2.154000E+11 3.162E+16 330 3.800E-4 3.593587E+1 1.548370E+1 5.396660E-1 7.984000E+1
3.162000E+11 3.162E+16 330 3.800E-4 3.547802E+1 1.522520E+1 5.378160E-1 7.979420E+1
4.642000E+11 3.162E+16 330 3.800E-4 3.495896E+1 1.492600E+1 5.356800E-1 7.970400E+1
6.813000E+11 3.162E+16 330 3.800E-4 3.439251E+1 1.460650E+1 5.332910E-1 7.963770E+1
1.000000E+12 3.162E+16 330 3.800E-4 3.378982E+1 1.426650E+1 5.306610E-1 7.956360E+1
1.468000E+12 3.162E+16 330 3.800E-4 3.315591E+1 1.390780E+1 5.276880E-1 7.949140E+1
2.154000E+12 3.162E+16 330 3.800E-4 3.249022E+1 1.352400E+1 5.244440E-1 7.936920E+1
3.162000E+12 3.162E+16 330 3.800E-4 3.178969E+1 1.312720E+1 5.209340E-1 7.926910E+1
4.642000E+12 3.162E+16 330 3.800E-4 3.105127E+1 1.271060E+1 5.170260E-1 7.917230E+1
6.813000E+12 3.162E+16 330 3.800E-4 3.027293E+1 1.226780E+1 5.128440E-1 7.901800E+1
1.000000E+13 3.162E+16 330 3.800E-4 2.945367E+1 1.181250E+1 5.083440E-1 7.889440E+1
1.468000E+13 3.162E+16 330 3.800E-4 2.859345E+1 1.133380E+1 5.035250E-1 7.872050E+1
2.154000E+13 3.162E+16 330 3.800E-4 2.769312E+1 1.084510E+1 4.984430E-1 7.856780E+1
3.162000E+13 3.162E+16 330 3.800E-4 2.675455E+1 1.033760E+1 4.930640E-1 7.836440E+1
4.642000E+13 3.162E+16 330 3.800E-4 2.578061E+1 9.824500E+0 4.874320E-1 7.818180E+1
6.813000E+13 3.162E+16 330 3.800E-4 2.477523E+1 9.298500E+0 4.815790E-1 7.793390E+1
1.000000E+14 3.162E+16 330 3.800E-4 2.374335E+1 8.772800E+0 4.754310E-1 7.771570E+1
