name time T kT_1 I
10RV 10rv.dat 300 38.65 3.474E-006
11RV 11rv.dat 300 38.65 3.311E-006
12RV 12rv.dat 300 38.65 3.332E-006
13RV 13rv.dat 300 38.65 3.754E-006
14RV 14rv.dat 300 38.65 3.194E-006
15RV 15rv.dat 300 38.65 3.280E-006
16RV 16rv.dat 300 38.65 3.456E-006
17RV 17rv.dat 300 38.65 3.430E-006
18RV 18rv.dat 300 38.65 3.520E-006
19RV 19rv.dat 300 38.65 3.127E-006
1RV 1rv.dat 300 38.65 3.399E-006
20RV 20rv.dat 300 38.65 3.305E-006
21RV 21rv.dat 300 38.65 3.331E-006
22RV 22rv.dat 300 38.65 3.241E-006
23RV 23rv.dat 300 38.65 2.996E-006
24RV 24rv.dat 300 38.65 3.127E-006
25RV 25rv.dat 300 38.65 3.392E-006
26RV 26rv.dat 300 38.65 3.290E-006
27RV 27rv.dat 300 38.65 3.309E-006
2RV 2rv.dat 300 38.65 3.561E-006
3RV 3rv.dat 300 38.65 3.463E-006
4RV 4rv.dat 300 38.65 3.459E-006
5RV 5rv.dat 300 38.65 3.282E-006
6RV 6rv.dat 300 38.65 3.365E-006
7RV 7rv.dat 300 38.65 3.278E-006
8RV 8rv.dat 300 38.65 3.332E-006
9RV 9rv.dat 300 38.65 3.421E-006
