name time T kT_1 I
10RV 10rv.dat 300 38.65 1.178E-005
11RV 11rv.dat 300 38.65 1.208E-005
12RV 12rv.dat 300 38.65 1.213E-005
13RV 13rv.dat 300 38.65 1.212E-005
14RV 14rv.dat 300 38.65 1.194E-005
15RV 15rv.dat 300 38.65 1.196E-005
16RV 16rv.dat 300 38.65 1.208E-005
17RV 17rv.dat 300 38.65 1.191E-005
18RV 18rv.dat 300 38.65 1.157E-005
19RV 19rv.dat 300 38.65 1.179E-005
1RV 1rv.dat 300 38.65 1.202E-005
20RV 20rv.dat 300 38.65 1.213E-005
21RV 21rv.dat 300 38.65 1.187E-005
22RV 22rv.dat 300 38.65 1.168E-005
23RV 23rv.dat 300 38.65 1.092E-005
24RV 24rv.dat 300 38.65 1.133E-005
25RV 25rv.dat 300 38.65 1.162E-005
26RV 26rv.dat 300 38.65 1.178E-005
27RV 27rv.dat 300 38.65 1.165E-005
2RV 2rv.dat 300 38.65 1.232E-005
3RV 3rv.dat 300 38.65 1.179E-005
4RV 4rv.dat 300 38.65 1.176E-005
5RV 5rv.dat 300 38.65 1.228E-005
6RV 6rv.dat 300 38.65 1.266E-005
7RV 7rv.dat 300 38.65 1.227E-005
8RV 8rv.dat 300 38.65 1.160E-005
9RV 9rv.dat 300 38.65 1.224E-005
