N_Fe N_B d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 1.000E+15 1.800E-4 5.6684837E-04 -4.0450286E-03 -3.4503505E-03 -1.2123657E-03 5.6991139E-04 -4.0466180E-03 -3.4540016E-03 -1.2130352E-03 5.4666906E-02 6.0096634E-04 1.8501283E-03 1.0027557E-03
1.000000E+10 1.000E+15 2.300E-4 5.6421924E-04 -4.0780531E-03 -3.4487077E-03 -1.2480204E-03 5.6857429E-04 -4.0799559E-03 -3.4534666E-03 -1.2491364E-03 9.2401367E-02 5.7709668E-04 1.8909618E-03 1.4633782E-03
1.000000E+10 1.000E+15 2.800E-4 5.6440046E-04 -4.1101697E-03 -3.4478347E-03 -1.2852816E-03 5.7020951E-04 -4.1125667E-03 -3.4537651E-03 -1.2870458E-03 2.0453238E-01 6.0816602E-04 1.9348660E-03 2.1543729E-03
1.000000E+10 1.000E+15 3.300E-4 5.5409251E-04 -4.1548125E-03 -3.4480806E-03 -1.3237813E-03 5.6137355E-04 -4.1577849E-03 -3.4552350E-03 -1.3263524E-03 5.4819633E+00 6.8490816E-04 1.9811860E-03 3.2048605E-03
1.000000E+10 1.000E+15 3.800E-4 5.4699895E-04 -4.1977842E-03 -3.4486013E-03 -1.3636691E-03 5.5588215E-04 -4.2013836E-03 -3.4569813E-03 -1.3671753E-03 -2.8067409E-01 7.3248690E-04 2.0104940E-03 4.4947602E-03
1.000000E+10 1.778E+15 1.800E-4 5.6749710E-04 -4.0055646E-03 -3.4488992E-03 -1.1711943E-03 5.7257660E-04 -4.0033848E-03 -3.4539489E-03 -1.1682443E-03 9.9295252E-02 -1.3824121E-03 2.9226011E-03 1.2514348E-01
1.000000E+10 1.778E+15 2.300E-4 5.6497002E-04 -4.0261587E-03 -3.4469287E-03 -1.1936182E-03 5.7209915E-04 -4.0231436E-03 -3.4537188E-03 -1.1898585E-03 1.9324386E-01 -1.4820699E-03 3.1046512E-03 9.3653429E-02
1.000000E+10 1.778E+15 2.800E-4 5.6446874E-04 -4.0465296E-03 -3.4457586E-03 -1.2167774E-03 5.7376308E-04 -4.0417272E-03 -3.4532665E-03 -1.2123419E-03 1.1939774E+00 -1.9576452E-03 2.8120228E-03 6.1479348E-02
1.000000E+10 1.778E+15 3.300E-4 5.5483969E-04 -4.0759440E-03 -3.4455492E-03 -1.2403634E-03 5.6657273E-04 -4.0698263E-03 -3.4545566E-03 -1.2352461E-03 -3.3920796E-01 -2.1154316E-03 2.8752844E-03 4.2317736E-02
1.000000E+10 1.778E+15 3.800E-4 5.4818385E-04 -4.1036511E-03 -3.4456731E-03 -1.2645271E-03 5.6258240E-04 -4.0967946E-03 -3.4569431E-03 -1.2586934E-03 -1.6219514E-01 -2.0569019E-03 3.1414645E-03 3.1494824E-02
1.000000E+10 3.162E+15 1.800E-4 5.7212889E-04 -3.9747526E-03 -3.4472321E-03 -1.1434699E-03 5.8021632E-04 -3.9638071E-03 -3.4503461E-03 -1.1359388E-03 -6.8262138E-01 -1.1055152E-02 2.1353503E-03 1.6521130E-02
1.000000E+10 3.162E+15 2.300E-4 5.6723264E-04 -3.9889907E-03 -3.4449163E-03 -1.1570975E-03 5.7847824E-04 -3.9746475E-03 -3.4489640E-03 -1.1478454E-03 -2.2373715E-01 -1.0959300E-02 2.2028789E-03 1.7002071E-02
1.000000E+10 3.162E+15 2.800E-4 5.6283730E-04 -4.0041405E-03 -3.4435028E-03 -1.1711754E-03 5.7736793E-04 -3.9867230E-03 -3.4488159E-03 -1.1602268E-03 -1.3574597E-01 -1.0628856E-02 2.4027759E-03 1.7373936E-02
1.000000E+10 3.162E+15 3.300E-4 5.6089529E-04 -4.0180363E-03 -3.4425931E-03 -1.1856217E-03 5.7906102E-04 -3.9968024E-03 -3.4486483E-03 -1.1731972E-03 -9.9846878E-02 -1.0712768E-02 2.3416713E-03 1.7336180E-02
1.000000E+10 3.162E+15 3.800E-4 5.5116185E-04 -4.0395403E-03 -3.4424028E-03 -1.2003286E-03 5.7320954E-04 -4.0144853E-03 -3.4494795E-03 -1.1863078E-03 -8.0963976E-02 -1.0733113E-02 2.3962638E-03 1.7481079E-02
1.000000E+10 5.623E+15 1.800E-4 5.7446626E-04 -3.9534018E-03 -3.4458637E-03 -1.1238241E-03 5.8766287E-04 -3.9351943E-03 -3.4463763E-03 -1.1159169E-03 -6.5484740E-02 -2.1685679E-02 4.3447820E-04 1.6022171E-02
1.000000E+10 5.623E+15 2.300E-4 5.7132758E-04 -3.9605078E-03 -3.4431104E-03 -1.1317169E-03 5.8911396E-04 -3.9368842E-03 -3.4438542E-03 -1.1220143E-03 -5.6929693E-02 -2.0869866E-02 5.1070360E-04 1.6387873E-02
1.000000E+10 5.623E+15 2.800E-4 5.6736610E-04 -3.9696528E-03 -3.4413235E-03 -1.1399927E-03 5.9015639E-04 -3.9403605E-03 -3.4423266E-03 -1.1286040E-03 -5.0879912E-02 -2.0279011E-02 5.7163892E-04 1.6652860E-02
1.000000E+10 5.623E+15 3.300E-4 5.6297510E-04 -3.9800046E-03 -3.4401183E-03 -1.1485022E-03 5.9111468E-04 -3.9449067E-03 -3.4414312E-03 -1.1354991E-03 -4.6517447E-02 -1.9783488E-02 6.4860315E-04 1.6942780E-02
1.000000E+10 5.623E+15 3.800E-4 5.5873044E-04 -3.9907789E-03 -3.4393080E-03 -1.1571878E-03 5.9255243E-04 -3.9496520E-03 -3.4409507E-03 -1.1426636E-03 -4.3303763E-02 -1.9440232E-02 7.1687688E-04 1.7184414E-02
1.000000E+10 1.000E+16 1.800E-4 5.8055812E-04 -3.9327551E-03 -3.4442694E-03 -1.1087520E-03 6.0254494E-04 -3.9074290E-03 -3.4424012E-03 -1.1041333E-03 -3.6056186E-02 -2.1780342E-02 -2.0474918E-03 1.6466643E-02
