N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Vmp_Fe Jmp_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Vmp_FeB Jmp_FeB Jsc_e Eta_e Voc_e FF_e Vmp_e Jmp_e
1.000000E+10 1.000E+15 290 1.800E-4 3.674712E+1 1.906070E+1 6.270830E-1 8.271630E+1 5.433890E-1 3.507753E+1 3.674736E+1 1.901000E+1 6.258520E-1 8.265780E+1 5.419040E-1 3.507994E+1 6.5310814E-04 -2.6670174E-01 -1.9669187E-01 -7.0773720E-02 -2.7403378E-01 6.8700232E-03
1.468000E+10 1.000E+15 290 1.800E-4 3.674047E+1 1.905380E+1 6.270650E-1 8.270340E+1 5.433500E-1 3.506723E+1 3.674097E+1 1.898070E+1 6.252750E-1 8.262080E+1 5.412010E-1 3.507134E+1 1.3608786E-03 -3.8512805E-01 -2.8627404E-01 -9.9974825E-02 -3.9707983E-01 1.1718971E-02
2.154000E+10 1.000E+15 290 1.800E-4 3.673073E+1 1.904350E+1 6.270390E-1 8.268450E+1 5.432910E-1 3.505219E+1 3.673162E+1 1.893900E+1 6.244470E-1 8.256970E+1 5.402250E-1 3.505757E+1 2.4229805E-03 -5.5177148E-01 -4.1508727E-01 -1.3903405E-01 -5.6754130E-01 1.5346186E-02
3.162000E+10 1.000E+15 290 1.800E-4 3.671644E+1 1.902850E+1 6.270000E-1 8.265660E+1 5.432320E-1 3.502836E+1 3.671794E+1 1.888040E+1 6.232680E-1 8.250090E+1 5.388380E-1 3.503919E+1 4.0851965E-03 -7.8441135E-01 -5.9877934E-01 -1.8872521E-01 -8.1545845E-01 3.0908249E-02
4.642000E+10 1.000E+15 290 1.800E-4 3.669553E+1 1.900650E+1 6.269430E-1 8.261550E+1 5.431150E-1 3.499542E+1 3.669797E+1 1.879970E+1 6.216120E-1 8.241200E+1 5.369240E-1 3.501376E+1 6.6488691E-03 -1.1000176E+00 -8.5760893E-01 -2.4693006E-01 -1.1530496E+00 5.2379407E-02
6.813000E+10 1.000E+15 290 1.800E-4 3.666495E+1 1.897430E+1 6.268600E-1 8.255510E+1 5.429590E-1 3.494610E+1 3.666888E+1 1.869110E+1 6.192920E-1 8.230800E+1 5.343650E-1 3.497815E+1 1.0717535E-02 -1.5151596E+00 -1.2220407E+00 -3.0021383E-01 -1.6082640E+00 9.1628631E-02
1.000000E+11 1.000E+15 290 1.800E-4 3.662032E+1 1.892710E+1 6.267380E-1 8.246600E+1 5.427440E-1 3.487288E+1 3.662666E+1 1.854800E+1 6.161020E-1 8.219550E+1 5.310640E-1 3.492616E+1 1.7309796E-02 -2.0438861E+00 -1.7263375E+00 -3.2909344E-01 -2.1993583E+00 1.5255041E-01
1.468000E+11 1.000E+15 290 1.800E-4 3.655533E+1 1.885790E+1 6.265590E-1 8.233420E+1 5.423930E-1 3.476797E+1 3.656571E+1 1.836560E+1 6.119860E-1 8.207110E+1 5.269240E-1 3.485441E+1 2.8387251E-02 -2.6805550E+00 -2.3812636E+00 -3.2057570E-01 -2.9357175E+00 2.4800305E-01
2.154000E+11 1.000E+15 290 1.800E-4 3.646109E+1 1.875680E+1 6.262950E-1 8.213890E+1 5.418850E-1 3.461394E+1 3.647836E+1 1.814070E+1 6.067530E-1 8.196080E+1 5.219430E-1 3.475599E+1 4.7343137E-02 -3.3962306E+00 -3.2207505E+00 -2.1729900E-01 -3.8207237E+00 4.0870653E-01
3.162000E+11 1.000E+15 290 1.800E-4 3.632522E+1 1.860920E+1 6.259080E-1 8.184830E+1 5.411040E-1 3.439127E+1 3.635449E+1 1.787070E+1 6.005320E-1 8.185540E+1 5.161820E-1 3.462093E+1 8.0512751E-02 -4.1324626E+00 -4.2255866E+00 8.6738321E-03 -4.8281420E+00 6.6335595E-01
4.642000E+11 1.000E+15 290 1.800E-4 3.613110E+1 1.839470E+1 6.253380E-1 8.141350E+1 5.398930E-1 3.407101E+1 3.618140E+1 1.755600E+1 5.933890E-1 8.177130E+1 5.098340E-1 3.443480E+1 1.3902171E-01 -4.7772841E+00 -5.3841578E+00 4.3756183E-01 -5.8958406E+00 1.0564603E+00
6.813000E+11 1.000E+15 290 1.800E-4 3.585750E+1 1.808430E+1 6.244980E-1 8.075920E+1 5.380370E-1 3.361171E+1 3.594442E+1 1.719700E+1 5.857050E-1 8.168500E+1 5.030570E-1 3.418503E+1 2.4181778E-01 -5.1596209E+00 -6.6233001E+00 1.1333782E+00 -6.9534864E+00 1.6771084E+00
1.000000E+12 1.000E+15 290 1.800E-4 3.547994E+1 1.763810E+1 6.232570E-1 7.976300E+1 5.349710E-1 3.297020E+1 3.562866E+1 1.679510E+1 5.778090E-1 8.158260E+1 4.960640E-1 3.385659E+1 4.1741677E-01 -5.0193211E+00 -7.8655750E+00 2.2303776E+00 -7.8431412E+00 2.6180723E+00
1.468000E+12 1.000E+15 290 1.800E-4 3.497566E+1 1.701400E+1 6.214130E-1 7.828190E+1 5.289160E-1 3.216776E+1 3.522242E+1 1.635380E+1 5.700060E-1 8.145570E+1 4.890720E-1 3.343850E+1 7.0057651E-01 -4.0369822E+00 -9.0186770E+00 3.8963510E+00 -8.1468577E+00 3.8002303E+00
2.154000E+12 1.000E+15 290 1.800E-4 3.433446E+1 1.619400E+1 6.185910E-1 7.624650E+1 5.144820E-1 3.147624E+1 3.472158E+1 1.587920E+1 5.624520E-1 8.130990E+1 4.822170E-1 3.292956E+1 1.1149262E+00 -1.9824676E+00 -9.9811184E+00 6.2272860E+00 -6.6909711E+00 4.4134206E+00
3.162000E+12 1.000E+15 290 1.800E-4 3.357346E+1 1.534640E+1 6.142670E-1 7.441370E+1 4.907320E-1 3.127245E+1 3.413318E+1 1.538040E+1 5.553550E-1 8.113720E+1 4.756350E-1 3.233655E+1 1.6398121E+00 2.2106057E-01 -1.0607989E+01 8.2865812E+00 -3.1740726E+00 3.2907036E+00
