T nFsrh nFBsrh dnsrh nF nFB dn
290 1.193573576E+00 1.198507014E+0 -4.933438000E-03 1.193573576E+00 1.198507014E+0 -4.933438000E-03
295 1.202382242E+00 1.202378730E+0 3.512000000E-06 1.202382242E+00 1.202378730E+0 3.512000000E-06
300 1.200635320E+00 1.206258880E+0 -5.623560000E-03 1.200635320E+00 1.206258880E+0 -5.623560000E-03
305 1.209309159E+00 1.210147165E+0 -8.380060000E-04 1.209309159E+00 1.210147165E+0 -8.380060000E-04
310 1.217255101E+00 1.214043034E+0 3.212067000E-03 1.217255101E+00 1.214043034E+0 3.212067000E-03
315 1.216234794E+00 1.217945332E+0 -1.710538000E-03 1.216234794E+00 1.217945332E+0 -1.710538000E-03
320 1.218903469E+00 1.221851517E+0 -2.948048000E-03 1.218903469E+00 1.221851517E+0 -2.948048000E-03
325 1.222282629E+00 1.225755946E+0 -3.473317000E-03 1.222282629E+00 1.225755946E+0 -3.473317000E-03
330 1.229637496E+00 1.229646241E+0 -8.745000000E-06 1.229637496E+00 1.229646241E+0 -8.745000000E-06
335 1.236362495E+00 1.233495760E+0 2.866735000E-03 1.236362495E+00 1.233495760E+0 2.866735000E-03
340 1.242231488E+00 1.237248444E+0 4.983044000E-03 1.242231488E+00 1.237248444E+0 4.983044000E-03
