fname time Tem kT_1 Nfe tau_r Wph Em rmsre 
L0217 1381077309 0 555 3.555385478E+19 1.000000000E+02 3.967430963E-04 6.783480048E-01 1.761823308E-03 
L0217 1381077309 0 555 3.555385478E+19 1.000000000E+02 3.967430963E-04 6.783480048E-01 1.761823308E-03 
L0217U409 1381077309 0 555 3.310553160E+19 1.000000000E+02 3.931179079E-04 6.704940426E-01 1.810514684E-03 
L0217U409 1381077309 0 555 3.310553160E+19 1.000000000E+02 3.931179079E-04 6.704940426E-01 1.810514684E-03 
L0218 1381149933 0 555 3.330587216E+19 1.000000000E+02 3.946630977E-04 6.780625288E-01 1.749725096E-03 
L0218 1381149933 0 555 3.330587212E+19 1.000000000E+02 3.946630976E-04 6.780625289E-01 1.749725085E-03 
L0218U409 1381149933 0 555 2.476611060E+19 1.000000000E+02 3.703705575E-04 6.704417459E-01 1.517382206E-03 
L0218U409 1381149933 0 555 2.476611060E+19 1.000000000E+02 3.703705575E-04 6.704417459E-01 1.517382206E-03 
L0223U409 1381473349 0 555 3.012138398E+19 1.000000000E+02 3.869968219E-04 6.740589753E-01 1.679548345E-03 
L0223U409 1381473349 0 555 3.012138398E+19 1.000000000E+02 3.869968219E-04 6.740589753E-01 1.679548345E-03 
L0223U409B 1381473349 0 555 3.078547926E+19 1.000000000E+02 3.882382829E-04 6.729585365E-01 1.718438916E-03 
L0223U409B 1381473349 0 555 3.078547926E+19 1.000000000E+02 3.882382829E-04 6.729585365E-01 1.718438916E-03 
