N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 3.057440000E-04 2.465160000E-04 2.033100000E-04 1.738850000E-04
1.600000000E+01 8.646310000E-04 7.326460000E-04 6.403340000E-04 5.767220000E-04
1.700000000E+01 1.849184000E-03 1.783544000E-03 1.748467000E-03 1.726808000E-03
1.549996187E+01 5.830130000E-04 4.767080000E-04 3.975570000E-04 3.466680000E-04
1.649996187E+01 1.177313000E-03 1.061673000E-03 9.886790000E-04 9.402900000E-04
1.674996808E+01 1.445250000E-03 1.355965000E-03 1.300419000E-03 1.263238000E-03
1.624993176E+01 9.900910000E-04 8.609820000E-04 7.780300000E-04 7.209960000E-04
1.574996808E+01 7.428610000E-04 6.165310000E-04 5.228670000E-04 4.625120000E-04
1.524993176E+01 4.307670000E-04 3.448630000E-04 2.903030000E-04 2.491220000E-04
