X Y Yfit Y1 Y2
3.004E+0 1.441E-5 1.473E-5 1.473E-5 0.000E+0
3.196E+0 1.951E-5 1.982E-5 1.982E-5 0.000E+0
3.389E+0 2.619E-5 2.624E-5 2.624E-5 0.000E+0
3.581E+0 3.446E-5 3.417E-5 3.417E-5 0.000E+0
3.772E+0 4.462E-5 4.382E-5 4.382E-5 0.000E+0
3.961E+0 5.678E-5 5.538E-5 5.538E-5 0.000E+0
4.213E+0 7.586E-5 7.441E-5 7.441E-5 0.000E+0
4.397E+0 9.304E-5 9.131E-5 9.131E-5 0.000E+0
4.603E+0 1.136E-4 1.137E-4 1.137E-4 0.000E+0
4.799E+0 1.383E-4 1.388E-4 1.388E-4 0.000E+0
4.997E+0 1.659E-4 1.685E-4 1.685E-4 0.000E+0
5.208E+0 2.004E-4 2.054E-4 2.054E-4 0.000E+0
