fname time Tem kT_1 A1 A2 m1 m2 dev 
01RV 1rv.dat 285.2 40.65 2.461E-008 0.000E+000 5.566E+000 0.000E+000 3.928E-002 
03RV 3rv.dat 287.8 40.29 2.845E-008 0.000E+000 5.311E+000 0.000E+000 2.385E-002 
05RV 5rv.dat 293.5 39.5 3.875E-008 0.000E+000 5.031E+000 0.000E+000 7.883E-003 
07RV 7rv.dat 298 38.91 4.905E-008 0.000E+000 4.797E+000 0.000E+000 3.838E-003 
09RV 9rv.dat 301.2 38.49 5.775E-008 0.000E+000 4.672E+000 0.000E+000 2.451E-003 
11RV 11rv.dat 304.7 38.05 6.877E-008 0.000E+000 4.499E+000 0.000E+000 1.033E-002 
13RV 13rv.dat 310.8 37.3 9.236E-008 0.000E+000 4.370E+000 0.000E+000 1.076E-002 
15RV 15rv.dat 316.5 36.63 1.204E-007 0.000E+000 4.213E+000 0.000E+000 1.050E-002 
17RV 17rv.dat 320.1 36.22 1.417E-007 0.000E+000 4.121E+000 0.000E+000 8.315E-003 
19RV 19rv.dat 325.9 35.58 1.828E-007 0.000E+000 4.019E+000 0.000E+000 8.549E-003 
21RV 21rv.dat 330.8 35.05 2.251E-007 0.000E+000 3.976E+000 0.000E+000 2.997E-003 
23RV 23rv.dat 334.7 34.64 2.645E-007 0.000E+000 3.938E+000 0.000E+000 4.316E-003 
25RV 25rv.dat 342.4 33.86 3.598E-007 0.000E+000 3.880E+000 0.000E+000 9.797E-003 
