X Y Yfit Y1 Y2
3.204E+0 1.352E-5 1.331E-5 1.331E-5 0.000E+0
3.399E+0 1.761E-5 1.760E-5 1.760E-5 0.000E+0
3.593E+0 2.277E-5 2.289E-5 2.289E-5 0.000E+0
3.788E+0 2.926E-5 2.939E-5 2.939E-5 0.000E+0
3.980E+0 3.694E-5 3.713E-5 3.713E-5 0.000E+0
4.174E+0 4.610E-5 4.651E-5 4.651E-5 0.000E+0
4.361E+0 5.689E-5 5.722E-5 5.722E-5 0.000E+0
4.613E+0 7.446E-5 7.463E-5 7.463E-5 0.000E+0
4.799E+0 8.984E-5 8.997E-5 8.997E-5 0.000E+0
4.962E+0 1.069E-4 1.054E-4 1.054E-4 0.000E+0
5.179E+0 1.295E-4 1.290E-4 1.290E-4 0.000E+0
