fname X01 X02 X03 X04 X05 A1 A2 A3 A4 A5 Sig1 Sig2 Sig3 Sig4 Sig5 Area1 Area2 Area3 Area4 Area5 Eps_ar1 Eps_ar2 Eps_ar3 Eps_ar4 Eps_ar5 ArTotal rmsre
d82a0Vn1Nt 2.8205619E-1 2.9002021E-1 3.0359651E-1 3.2376107E-1 4.2726321E-1 1.7053645E+13 4.3229138E+13 6.1078816E+13 2.6783550E+13 4.9652178E+13 5.6093450E-3 9.5146008E-3 1.4666686E-2 2.1762137E-2 5.5678326E-2 1.5931901E+13 4.1406296E+13 5.9832330E+13 2.6499153E+13 1.8607032E+13 9.8177372E-2 2.5515858E-1 3.6870558E-1 1.6329610E-1 1.1466237E-1 1.6227671E+14 1.9635650E-2
d82a0Vn1Nt 2.8128746E-1 2.8709098E-1 2.9575247E-1 3.0671895E-1 5.4622052E-1 6.2977919E+12 2.0546521E+13 4.7949039E+13 6.5405445E+13 1.8934674E+14 3.6651977E-3 6.7314932E-3 1.2667849E-2 2.1192843E-2 1.5268885E-1 6.1847737E+12 2.0084120E+13 4.6023807E+13 6.1543764E+13 2.8194932E+13 3.8170217E-2 1.2395203E-1 2.8404252E-1 3.7982617E-1 1.7400907E-1 1.6203140E+14 3.0366647E-2
d82a0Vn1Nt 2.8128746E-1 2.8709098E-1 2.9575247E-1 3.0671895E-1 5.4622052E-1 6.2977919E+12 2.0546522E+13 4.7949040E+13 6.5405443E+13 1.8934674E+14 3.6651977E-3 6.7314933E-3 1.2667849E-2 2.1192843E-2 1.5268885E-1 6.1847737E+12 2.0084121E+13 4.6023808E+13 6.1543763E+13 2.8194932E+13 3.8170217E-2 1.2395203E-1 2.8404253E-1 3.7982616E-1 1.7400906E-1 1.6203140E+14 3.0366646E-2
d82b0Vn1Nt 2.8225227E-1 2.8918216E-1 3.0473755E-1 3.3214112E-1 3.8512506E-1 7.0039323E+12 2.4568269E+13 1.0079257E+14 9.6171174E+13 4.9442429E+13 4.5032870E-3 8.5391341E-3 1.6411156E-2 1.9346977E-2 3.5299830E-2 6.8033548E+12 2.3712682E+13 9.7843623E+13 9.6045192E+13 3.6313593E+13 2.6094643E-2 9.0951302E-2 3.7528462E-1 3.6838664E-1 1.3928279E-1 2.6071844E+14 1.6938839E-2
d82b0Vn1Nt 2.8175884E-1 2.8828773E-1 2.9805759E-1 3.2239679E-1 3.8503289E-1 5.0660919E+12 1.3757138E+13 5.3690016E+13 1.5440523E+14 5.5579582E+13 3.7263697E-3 6.6754617E-3 1.4440715E-2 2.2843018E-2 4.1072162E-2 4.9891514E+12 1.3559271E+13 5.1232881E+13 1.5184285E+14 3.9070594E+13 1.9137905E-2 5.2012060E-2 1.9652441E-1 5.8245458E-1 1.4987104E-1 2.6069475E+14 1.7054829E-2
d82a0Vn1Nt 2.8383083E-1 2.9388890E-1 3.0714961E-1 4.2282013E-1 4.4643345E-1 2.2188023E+13 4.3650015E+13 6.5804930E+13 1.0880132E+14 1.4995459E+13 6.0015246E-3 1.0553185E-2 1.8304032E-2 1.5021063E-1 2.0629911E-2 2.1209915E+13 4.2460422E+13 6.3607232E+13 3.3238776E+13 5.7469876E+11 1.3166414E-1 2.6358028E-1 3.9485269E-1 2.0633534E-1 3.5675401E-3 1.6109104E+14 4.2464351E-2
d73c0Vn1Nt 2.8036090E-1 2.8927665E-1 3.0302059E-1 3.4613381E-1 5.4133382E-1 2.9994950E+13 5.0445506E+13 5.5813630E+13 1.1291937E+13 1.3847145E+14 6.3424881E-3 1.0054552E-2 1.6139849E-2 2.2869228E-2 6.5765156E-2 2.7754065E+13 4.8617414E+13 5.4452186E+13 1.1252441E+13 3.0623616E+12 1.9122473E-1 3.3497263E-1 3.7517405E-1 7.7529003E-2 2.1099586E-2 1.4513847E+14 1.0782035E-1
d73c0Vn1Nt 2.7959571E-1 2.8630357E-1 2.9654340E-1 3.2636021E-1 4.0387768E-1 1.3735307E+13 3.8914769E+13 7.4225840E+13 2.5795444E+13 1.6803181E+12 4.6431461E-3 8.4732206E-3 1.6197165E-2 3.7545199E-2 7.3520001E-3 1.3246545E+13 3.7455346E+13 6.9849741E+13 2.3608528E+13 1.2753163E+12 9.1081938E-2 2.5753927E-1 4.8027993E-1 1.6232991E-1 8.7689495E-3 1.4543548E+14 6.5155838E-2
d73b0Vn1Nt 2.7952741E-1 2.8604617E-1 2.9599722E-1 3.1001875E-1 5.4704405E-1 9.9457213E+12 3.0791877E+13 7.3394811E+13 5.6288757E+13 7.0938203E+13 4.2702370E-3 7.8272845E-3 1.4308831E-2 2.4249688E-2 1.0313054E-1 9.6768605E+12 2.9874275E+13 7.0298816E+13 5.3181690E+13 6.1633407E+12 5.7193543E-2 1.7656714E-1 4.1548996E-1 3.1432191E-1 3.6427444E-2 1.6919498E+14 6.0775802E-2
d73a0Vn1Nt 2.7948662E-1 2.8582531E-1 2.9646449E-1 3.1200179E-1 5.4723221E-1 9.2677611E+12 2.9809126E+13 1.0006637E+14 1.0885058E+14 1.6586460E+14 3.9787973E-3 7.3347211E-3 1.4014118E-2 2.1324148E-2 1.1626045E-1 9.0732237E+12 2.9076770E+13 9.6382213E+13 1.0575484E+14 1.8066252E+13 3.5119442E-2 1.1254654E-1 3.7306360E-1 4.0934194E-1 6.9928475E-2 2.5835330E+14 5.8178213E-2
