fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
ULL070 10:29 310.7 37.32 1.000E+000 4.722E+000 5.408E-010 7.466E+002 2.590E+000 7.088E-006 4.632E-005 3.154E-002 4.600E-005 3.663E-007 2.525E-001 1.590E-002 2.289E-005 1.563E-003 
ULL075 10:32 310.6 37.33 1.000E+000 4.729E+000 5.279E-010 7.461E+002 2.571E+000 6.817E-006 5.737E-005 3.894E-002 5.698E-005 5.617E-007 2.532E-001 1.960E-002 2.851E-005 3.590E-002 
ULL080 10:34 310.4 37.35 1.000E+000 4.751E+000 5.140E-010 7.453E+002 2.590E+000 7.009E-006 7.008E-005 4.714E-002 6.961E-005 8.337E-007 2.541E-001 2.380E-002 3.488E-005 2.428E-003 
ULL085 10:37 310.3 37.36 1.000E+000 4.788E+000 5.041E-010 7.448E+002 2.589E+000 6.946E-006 8.441E-005 5.637E-002 8.383E-005 1.206E-006 2.552E-001 2.850E-002 4.216E-005 3.316E-003 
ULL090 10:40 310.6 37.33 1.000E+000 4.793E+000 5.327E-010 7.461E+002 2.587E+000 7.061E-006 9.918E-005 6.567E-002 9.850E-005 1.659E-006 2.565E-001 3.330E-002 4.968E-005 2.053E-003 
ULL095 10:42 310.6 37.33 1.000E+000 4.783E+000 5.313E-010 7.461E+002 2.591E+000 7.115E-006 1.161E-004 7.605E-002 1.153E-004 2.264E-006 2.582E-001 3.870E-002 5.834E-005 6.699E-003 
ULL100 10:44 310.5 37.34 1.000E+000 4.802E+000 5.284E-010 7.457E+002 2.584E+000 7.028E-006 1.331E-004 8.625E-002 1.322E-004 2.963E-006 2.599E-001 4.410E-002 6.704E-005 2.316E-003 
ULL105 10:47 310.4 37.35 1.000E+000 4.857E+000 5.400E-010 7.453E+002 2.627E+000 7.519E-006 1.527E-004 9.711E-002 1.517E-004 3.863E-006 2.623E-001 4.990E-002 7.726E-005 1.392E-003 
ULL110 10:49 310.3 37.36 1.000E+000 4.806E+000 5.070E-010 7.448E+002 2.594E+000 7.061E-006 1.757E-004 1.103E-001 1.745E-004 5.101E-006 2.650E-001 5.710E-002 8.918E-005 6.607E-003 
ULL115 10:51 310.4 37.35 1.000E+000 4.819E+000 5.175E-010 7.453E+002 2.607E+000 7.239E-006 1.974E-004 1.216E-001 1.960E-004 6.390E-006 2.681E-001 6.340E-002 1.006E-004 4.093E-003 
ULL120 10:54 310.3 37.36 1.000E+000 4.856E+000 5.162E-010 7.448E+002 2.601E+000 7.159E-006 2.208E-004 1.335E-001 2.193E-004 7.948E-006 2.715E-001 7.020E-002 1.131E-004 2.993E-003 
