X Y Yfit
3.8100000E-2 6.0000000E-8 6.9656573E-8
5.8400000E-2 1.1100000E-7 1.1094495E-7
7.8600000E-2 1.5420000E-7 1.5669640E-7
9.8600000E-2 2.0820000E-7 2.0872487E-7
1.1910000E-1 2.7230000E-7 2.7230011E-7
1.3930000E-1 3.5160000E-7 3.4997053E-7
1.5940000E-1 4.5580000E-7 4.4933741E-7
1.7950000E-1 5.9050000E-7 5.8180185E-7
1.9970000E-1 7.7640000E-7 7.6576430E-7
2.2010000E-1 1.0322000E-6 1.0321993E-6
2.4000000E-1 1.3990000E-6 1.4169592E-6
2.6060000E-1 1.9840000E-6 2.0310694E-6
2.8040000E-1 2.9330000E-6 2.9775133E-6
3.0050000E-1 4.5600000E-6 4.5819557E-6
3.2100000E-1 7.4790000E-6 7.4789997E-6
3.4090000E-1 1.2980000E-5 1.2684636E-5
3.6140000E-1 2.3820000E-5 2.3091984E-5
3.8140000E-1 4.5640000E-5 4.3556267E-5
4.0160000E-1 9.0140000E-5 8.6309931E-5
4.2070000E-1 1.7000000E-4 1.7000006E-4
4.4160000E-1 3.7730000E-4 3.6561830E-4
4.6200000E-1 7.8220000E-4 7.8166535E-4
4.8220000E-1 1.6280000E-3 1.6546842E-3
5.0220000E-1 3.3290000E-3 3.4017959E-3
5.2260000E-1 6.5930000E-3 6.7559557E-3
5.4250000E-1 1.2250000E-2 1.2249997E-2
5.6220000E-1 2.0980000E-2 2.0235338E-2
